dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.502846,24.538125,0.003125,0.125000,2.500000,50.000000,0.000051
0.050000,1.515117,24.538127,0.015397,0.245430,2.408608,-1.827837,0.000271
0.050000,1.539661,24.538139,0.039940,0.490875,4.908900,50.005830,0.000711
0.050000,1.576479,24.538177,0.076758,0.736350,4.909483,0.011669,0.001368
0.050000,1.625572,24.538266,0.125851,0.981868,4.910359,0.017524,0.002241
0.050000,1.686944,24.538437,0.187223,1.227444,4.911529,0.023403,0.003328
0.050000,1.760598,24.538730,0.260878,1.473094,4.912995,0.029313,0.004624
0.050000,1.846538,24.539192,0.346820,1.718832,4.914758,0.035260,0.006125
0.050000,1.944770,24.539877,0.445053,1.964673,4.916821,0.041250,0.007826
0.050000,2.055297,24.540847,0.555585,2.210632,4.919185,0.047286,0.009722
0.050000,2.178126,24.542170,0.678421,2.456725,4.921853,0.053371,0.011807
0.050000,2.313263,24.543919,0.813569,2.702966,4.924829,0.059507,0.014072
0.050000,2.460714,24.546174,0.961038,2.949372,4.928113,0.065694,0.016510
0.050000,2.620487,24.549021,1.120836,3.195957,4.931710,0.071929,0.019113
0.050000,2.792588,24.552549,1.292973,3.442738,4.935620,0.078209,0.021871
0.050000,2.977024,24.556852,1.477459,3.689731,4.939847,0.084530,0.024774
0.050000,3.173803,24.562028,1.674307,3.936950,4.944391,0.090885,0.027811
0.050000,3.382934,24.568177,1.883527,4.184413,4.949254,0.097268,0.030969
0.050000,3.604423,24.575403,2.105134,4.432135,4.954438,0.103669,0.034238
0.050000,3.838278,24.583808,2.339141,4.680132,4.959942,0.110078,0.037603
0.050000,4.084509,24.593499,2.585562,4.928420,4.965766,0.116487,0.041050
0.050000,4.343122,24.604578,2.844412,5.177016,4.971910,0.122884,0.044566
0.050000,4.614127,24.617151,3.115709,5.425934,4.978373,0.129259,0.048133
0.050000,4.897533,24.631317,3.399469,5.675192,4.985153,0.135601,0.051736
0.050000,5.193349,24.647176,3.695709,5.924804,4.992248,0.141901,0.055357
0.050000,5.501583,24.664820,4.004448,6.174787,4.999656,0.148152,0.058979
0.050000,5.822248,24.684340,4.325706,6.425156,5.007373,0.154345,0.062584
0.050000,6.155352,24.705816,4.659502,6.675926,5.015397,0.160477,0.066152
0.050000,6.500909,24.729323,5.005858,6.927112,5.023724,0.166545,0.069662
0.050000,6.858931,24.754928,5.364795,7.178729,5.032352,0.172548,0.073095
0.050000,7.229433,24.782685,5.736334,7.430793,5.041276,0.178490,0.076428
0.050000,7.612429,24.812640,6.120500,7.683318,5.050495,0.184377,0.079639
0.050000,8.007937,24.844824,6.517316,7.936318,5.060006,0.190218,0.082706
0.050000,8.415978,24.879253,6.926806,8.189809,5.069807,0.196025,0.085605
0.050000,8.836572,24.915930,7.348997,8.443804,5.079898,0.201814,0.088312
0.050000,9.269744,24.954838,7.783912,8.698318,5.090278,0.207602,0.090801
0.050000,9.712425,24.995655,8.228471,8.891166,3.856970,-24.666161,0.093032
0.050000,10.158442,25.037715,8.676467,8.959932,1.375320,-49.632992,0.094962
0.050000,10.604714,25.080596,9.124794,8.966542,0.132199,-24.862439,0.096573
0.050000,11.051252,25.124158,9.573452,8.973149,0.132140,-0.001163,0.097867
0.050000,11.498068,25.168259,10.022440,8.979753,0.132089,-0.001019,0.098842
0.050000,11.945177,25.212756,10.471757,8.986356,0.132048,-0.000822,0.099499
0.050000,12.392592,25.257510,10.921405,8.992957,0.132019,-0.000586,0.099838
0.050000,12.840328,25.302377,11.371383,8.999557,0.132003,-0.000324,0.099859
0.050000,13.288398,25.347215,11.821691,9.006157,0.132000,-0.000049,0.099563
0.050000,13.736817,25.391882,12.272329,9.012758,0.132012,0.000227,0.098948
