dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.502952,22.461875,0.003125,0.125000,2.500000,50.000000,0.000051
0.050000,1.515681,22.461877,0.015853,0.254570,2.591392,1.827837,0.000271
0.050000,1.541137,22.461890,0.041310,0.509125,5.091100,49.994167,0.000711
0.050000,1.579319,22.461929,0.079492,0.763650,5.090517,-0.011674,0.001368
0.050000,1.630226,22.462021,0.130399,1.018132,5.089640,-0.017531,0.002241
0.050000,1.693853,22.462198,0.194027,1.272556,5.088469,-0.023412,0.003328
0.050000,1.770198,22.462502,0.270372,1.526906,5.087003,-0.029324,0.004624
0.050000,1.859255,22.462981,0.359430,1.781168,5.085240,-0.035273,0.006125
0.050000,1.961019,22.463691,0.461197,2.035327,5.083176,-0.041264,0.007826
0.050000,2.075483,22.464695,0.575665,2.289367,5.080811,-0.047301,0.009722
0.050000,2.202639,22.466064,0.702829,2.543275,5.078142,-0.053387,0.011807
0.050000,2.342479,22.467874,0.842680,2.797033,5.075166,-0.059523,0.014072
0.050000,2.494993,22.470207,0.995212,3.050627,5.071880,-0.065709,0.016510
0.050000,2.660169,22.473150,1.160414,3.304041,5.068283,-0.071944,0.019113
0.050000,2.837994,22.476795,1.338277,3.557260,5.064372,-0.078223,0.021871
0.050000,3.028456,22.481239,1.528790,3.810267,5.060145,-0.084542,0.024774
0.050000,3.231538,22.486581,1.731942,4.063047,5.055600,-0.090896,0.027811
0.050000,3.447224,22.492923,1.947722,4.315584,5.050736,-0.097276,0.030969
0.050000,3.675495,22.500369,2.176115,4.567861,5.045553,-0.103673,0.034238
0.050000,3.916333,22.509026,2.417108,4.819864,5.040049,-0.110080,0.037603
0.050000,4.169716,22.518998,2.670687,5.071575,5.034224,-0.116485,0.041050
0.050000,4.435621,22.530390,2.936836,5.322979,5.028081,-0.122877,0.044566
0.050000,4.714024,22.543306,3.215539,5.574060,5.021618,-0.129248,0.048133
0.050000,5.004901,22.557845,3.506779,5.824802,5.014839,-0.135585,0.051736
0.050000,5.308225,22.574106,3.810538,6.075189,5.007745,-0.141881,0.055357
0.050000,5.623969,22.592181,4.126798,6.325206,5.000339,-0.148127,0.058979
0.050000,5.952103,22.612154,4.455540,6.574837,4.992623,-0.154316,0.062584
0.050000,6.292599,22.634107,4.796744,6.824067,4.984600,-0.160444,0.066152
0.050000,6.645428,22.658109,5.150388,7.072881,4.976275,-0.166508,0.069662
0.050000,7.010559,22.684222,5.516451,7.321263,4.967650,-0.172508,0.073095
0.050000,7.387961,22.712496,5.894911,7.569200,4.958727,-0.178449,0.076428
0.050000,7.777605,22.742971,6.285745,7.816675,4.949511,-0.184334,0.079639
0.050000,8.179460,22.775671,6.688928,8.063675,4.940002,-0.190175,0.082706
0.050000,8.593498,22.810606,7.104438,8.310186,4.930203,-0.195984,0.085605
0.050000,9.019691,22.847771,7.532247,8.556191,4.920114,-0.201776,0.088312
0.050000,9.458010,22.887142,7.972331,8.801678,4.909735,-0.207569,0.090801
0.050000,9.905304,22.928383,8.421523,8.983830,3.643046,-25.333784,0.093032
0.050000,10.355311,22.970819,8.873526,9.040065,1.124698,-50.366965,0.094962
0.050000,10.804913,23.014021,9.325199,9.033456,-0.132182,-25.137589,0.096573
0.050000,11.254123,23.057843,9.776541,9.026850,-0.132127,0.001102,0.097867
0.050000,11.702954,23.102142,10.227554,9.020246,-0.132079,0.000958,0.098842
0.050000,12.151421,23.146775,10.678236,9.013644,-0.132041,0.000761,0.099499
0.050000,12.599537,23.191599,11.128588,9.007043,-0.132014,0.000526,0.099838
0.050000,13.047317,23.236470,11.578610,9.000443,-0.132001,0.000264,0.099859
0.050000,13.494774,23.281247,12.028302,8.993843,-0.132002,-0.000012,0.099563
0.050000,13.941923,23.325787,12.477664,8.987242,-0.132016,-0.000288,0.098948
0.050000,14.388778,23.369950,12.926696,8.980640,-0.132044,-0.000553,0.098016
0.050000,14.835353,23.413592,13.375398,8.974036,-0.132083,-0.000792,0.096765
0.050000,15.281659,23.456573,13.823770,8.967429,-0.132133,-0.000995,0.095197
0.050000,15.727710,23.498751,14.271810,8.960820,-0.132190,-0.001147,0.093310
0.050000,16.173518,23.539987,14.719521,8.954207,-0.132252,-0.001236,0.091104
0.050000,16.619092,23.580138,15.166900,8.947591,-0.132315,-0.001249,0.088580
0.050000,17.064442,23.619065,15.613949,8.940973,-0.132373,-0.001173,0.085737
0.050000,17.509578,23.656627,16.060667,8.934351,-0.132423,-0.000995,0.082576
0.050000,17.954506,23.692683,16.507053,8.927729,-0.132458,-0.000702,0.079095
0.050000,18.399232,23.727094,16.953108,8.921105,-0.132472,-0.000280,0.075295
0.050000,18.843760,23.759720,17.398832,8.914482,-0.132458,0.000283,0.071177
0.050000,19.288094,23.790421,17.844225,8.907862,-0.132408,0.001001,0.066739
0.050000,19.732234,23.819058,18.289288,8.901246,-0.132314,0.001885,0.061983
0.050000,20.176180,23.845492,18.734020,8.894638,-0.132166,0.002948,0.056909
0.050000,20.617312,23.869450,19.175802,8.835654,-1.179682,-20.950303,0.051550
0.050000,21.049936,23.890576,19.608942,8.662796,-3.457150,-45.549364,0.045987
0.050000,21.470515,23.908740,20.029912,8.419404,-4.867839,-28.213794,0.040289
0.050000,21.878591,23.924014,20.438274,8.167236,-5.043353,-3.510279,0.034485
0.050000,22.274173,23.936504,20.834054,7.915592,-5.032896,0.209141,0.028603
0.050000,22.657270,23.946335,21.217276,7.664454,-5.022746,0.203010,0.022666
0.050000,23.027888,23.953637,21.587967,7.413809,-5.012912,0.196674,0.016698
0.050000,23.386036,23.958553,21.946149,7.163638,-5.003405,0.190136,0.010721
0.050000,23.731722,23.961234,22.291845,6.913927,-4.994235,0.183408,0.004758
0.050000,24.058496,23.961662,22.618619,6.535482,-7.568902,-51.493334,6.275844
0.050000,24.341650,23.953908,22.901880,5.665208,-17.405477,-196.731506,6.233840
0.050000,24.602245,23.934664,23.163184,5.226082,-8.782512,172.459290,6.182734
0.050000,24.838060,23.903878,23.401000,4.756333,-9.394981,-12.249378,6.121053
0.050000,25.046653,23.862198,23.613716,4.254317,-10.040331,-12.906987,6.047244
0.050000,25.225804,23.811195,23.799986,3.725396,-10.578418,-10.761743,5.960012
0.050000,25.374343,23.753382,23.959379,3.187865,-10.750616,-3.443957,5.858939
0.050000,25.493209,23.691739,24.093278,2.677974,-10.197810,11.056115,5.745353
0.050000,25.586128,23.628607,24.205615,2.246735,-8.624790,31.460404,5.623037
0.050000,25.659010,23.564496,24.302683,1.941361,-6.107483,50.346125,5.498047
0.050000,25.717990,23.497949,24.391605,1.778440,-3.258406,56.981546,5.377242
0.050000,25.767503,23.426862,24.478235,1.732607,-0.916660,46.834917,5.266261
0.050000,25.809800,23.350092,24.565886,1.753019,0.408222,26.497655,5.168295
0.050000,25.845691,23.268090,24.655398,1.790238,0.744381,6.723172,5.084155
0.050000,25.875485,23.182551,24.745977,1.811589,0.427031,-6.346998,5.013076
0.050000,25.899525,23.095726,24.836070,1.801845,-0.194883,-12.438279,4.953564
0.050000,25.918337,23.009891,24.923942,1.757444,-0.888030,-13.862944,4.903950
0.050000,25.932594,22.927072,25.007979,1.680747,-1.533927,-12.917939,4.862680
0.050000,25.943033,22.848948,25.086797,1.576357,-2.087810,-11.077651,4.828421
0.050000,25.950385,22.776861,25.159258,1.449229,-2.542560,-9.095007,4.800078
0.050000,25.955327,22.711854,25.224453,1.303887,-2.906842,-7.285639,4.776775
0.050000,25.958461,22.654731,25.281662,1.144184,-3.194059,-5.744340,4.757821
0.050000,25.960299,22.606100,25.330327,0.973309,-3.417498,-4.468786,4.742678
0.050000,25.961267,22.566418,25.370021,0.793882,-3.588540,-3.420841,4.730933
0.050000,25.961698,22.536017,25.400425,0.608070,-3.716231,-2.553816,4.722280
0.050000,25.961844,22.515133,25.421310,0.417701,-3.807388,-1.823144,4.716498
0.050000,25.961873,22.503915,25.432528,0.224358,-3.866862,-1.189482,4.713446
0.050000,25.961875,22.500369,25.436074,0.070923,-3.068689,15.963474,4.712488
0.050000,25.961875,22.500000,25.436443,0.007372,-1.271023,35.953314,4.712389
0.050000,25.961875,22.500000,25.436443,0.000000,-0.147442,22.471626,4.712389
