dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.501741,24.538125,0.001529,0.061176,1.223529,24.470584,6.282866
0.050000,1.509301,24.538117,0.009090,0.151213,1.800734,11.544100,6.281476
0.050000,1.526322,24.538061,0.026110,0.340406,3.783859,39.662493,6.278339
0.050000,1.556609,24.537830,0.056399,0.605767,5.307218,30.467191,6.272735
0.050000,1.602108,24.537162,0.101903,0.910080,6.086269,15.581008,6.264260
0.050000,1.662894,24.535664,0.162707,1.216076,6.119902,0.672658,6.252833
0.050000,1.739052,24.532801,0.238919,1.524246,6.163408,0.870128,6.238349
0.050000,1.830670,24.527881,0.330669,1.835008,6.215241,1.036652,6.220682
0.050000,1.937817,24.520048,0.438102,2.148655,6.272936,1.153900,6.199695
0.050000,2.060518,24.508272,0.561367,2.465292,6.332737,1.196022,6.175242
0.050000,2.198722,24.491336,0.700604,2.784749,6.389154,1.128344,6.147187
0.050000,2.352258,24.467841,0.855928,3.106475,6.434521,0.907332,6.115421
0.050000,2.520787,24.436216,1.027398,3.429409,6.458680,0.483180,6.079884
0.050000,2.703739,24.394744,1.214991,3.751860,6.449022,-0.193147,6.040600
0.050000,2.900256,24.341620,1.418562,4.071420,6.391187,-1.156708,5.997708
0.050000,3.109146,24.275030,1.637810,4.384957,6.270735,-2.409036,5.951496
0.050000,3.328863,24.193263,1.872248,4.688754,6.075943,-3.895833,5.902435
0.050000,3.557521,24.094840,2.121189,4.978824,5.801402,-5.490819,5.851185
0.050000,3.792978,23.978639,2.383759,5.251396,5.451445,-6.999144,5.798590
0.050000,4.032963,23.843998,2.658933,5.503490,5.041887,-8.191169,5.745637
0.050000,4.275245,23.690767,2.945605,5.733424,4.598678,-8.864169,5.693396
0.050000,4.517811,23.519294,3.242659,5.941082,4.153161,-8.910355,5.642940
0.050000,4.759018,23.330361,3.549051,6.127844,3.735240,-8.358404,5.595277
0.050000,4.997689,23.125078,3.863860,6.296191,3.366939,-7.366031,5.551295
0.050000,5.233156,22.904776,4.186316,6.449118,3.058527,-6.168228,5.511738
0.050000,5.465240,22.670914,4.515792,6.589520,2.808055,-5.009453,5.477209
0.050000,5.694210,22.425030,4.851777,6.719696,2.603506,-4.090976,5.448201
0.050000,5.920711,22.168720,5.193827,6.840998,2.426045,-3.549215,5.425140
0.050000,6.144690,21.904880,5.539917,6.921795,1.615929,-16.202319,5.408504
0.050000,6.365505,21.637683,5.886548,6.932631,0.216726,-27.984069,5.398715
0.050000,6.582628,21.371585,6.229987,6.868778,-1.277053,-29.875581,5.396039
0.050000,6.794759,21.112088,6.565157,6.703393,-3.307710,-40.613129,5.400565
0.050000,7.000855,20.864069,6.887629,6.449452,-5.078805,-35.421916,5.412134
0.050000,7.200586,20.630883,7.194660,6.140614,-6.176766,-21.959214,5.430445
0.050000,7.393506,20.415193,7.484040,5.787600,-7.060284,-17.670357,5.455061
0.050000,7.579719,20.218194,7.755119,5.421587,-7.320266,-5.199640,5.485516
0.050000,7.759679,20.040031,8.008354,5.064686,-7.138006,3.645208,5.521371
0.050000,7.933574,19.880588,8.244280,4.718528,-6.923163,4.296854,5.562111
0.050000,8.101404,19.739461,8.463561,4.385611,-6.658341,5.296431,5.607096
0.050000,8.263065,19.615946,8.667007,4.068920,-6.333826,6.490314,5.655548
0.050000,8.418417,19.509062,8.855576,3.771384,-5.950712,7.662273,5.706544
0.050000,8.567334,19.417597,9.030339,3.495258,-5.522530,8.563649,5.759053
0.050000,8.709727,19.340180,9.192417,3.241562,-5.073907,8.972458,5.811996
0.050000,8.845543,19.275366,9.342905,3.009769,-4.635878,8.760577,5.864319
0.050000,8.974735,19.221712,9.482796,2.797815,-4.239068,7.936200,5.915067
0.050000,9.097235,19.177827,9.612919,2.602456,-3.907179,6.637780,5.963440
0.050000,9.212926,19.142412,9.733909,2.419803,-3.653056,5.082451,6.008827
0.050000,9.321636,19.114267,9.846204,2.245892,-3.478235,3.496427,6.050806
0.050000,9.423142,19.092296,9.950060,2.077128,-3.375282,2.059056,6.089129
0.050000,9.517182,19.075503,10.045588,1.910557,-3.331413,0.877391,6.123691
0.050000,9.603477,19.062987,10.132786,1.743959,-3.331951,-0.010774,6.154491
0.050000,9.681747,19.053940,10.211577,1.575817,-3.362849,-0.617952,6.181606
0.050000,9.751725,19.047642,10.281837,1.405213,-3.412079,-0.984607,6.205152
0.050000,9.813168,19.043462,10.343423,1.231706,-3.470135,-1.161113,6.225269
0.050000,9.865864,19.040853,10.396183,1.055209,-3.529945,-1.196200,6.242101
0.050000,9.909632,19.039355,10.439977,0.875883,-3.586510,-1.131310,6.255785
0.050000,9.944327,19.038589,10.474680,0.694061,-3.636450,-0.998787,6.266440
0.050000,9.969834,19.038261,10.500189,0.510182,-3.677570,-0.822400,6.274166
0.050000,9.986375,19.038153,10.516730,0.330818,-3.587289,1.805610,6.279127
0.050000,9.995370,19.038128,10.525726,0.179905,-3.018264,11.380508,6.281809
0.050000,9.999134,19.038125,10.529490,0.075294,-2.092210,18.521081,6.282928
0.050000,10.000000,19.038125,10.530356,0.017311,-1.159667,18.650850,0.000000
0.050000,10.000000,19.038125,10.530356,0.000000,-0.346218,16.268986,0.000000
