dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.501077,22.461875,0.001529,0.061176,1.223529,24.470584,6.282866
0.050000,1.505751,22.461870,0.006204,0.093493,0.646324,-11.544108,6.281476
0.050000,1.516261,22.461836,0.016713,0.210182,2.333783,33.749181,6.278339
0.050000,1.534913,22.461693,0.035366,0.373055,3.257465,18.473641,6.272735
0.050000,1.562817,22.461283,0.063273,0.558150,3.701902,8.888746,6.264260
0.050000,1.599884,22.460371,0.100351,0.741560,3.668207,-0.673907,6.252833
0.050000,1.645991,22.458638,0.146491,0.922791,3.624610,-0.871928,6.238349
0.050000,1.700983,22.455685,0.201562,1.101424,3.572657,-1.039075,6.220682
0.050000,1.764671,22.451031,0.265420,1.277164,3.514804,-1.157057,6.199695
0.050000,1.836835,22.444106,0.337916,1.449904,3.454803,-1.200015,6.175242
0.050000,1.917225,22.434257,0.418906,1.619811,3.398141,-1.133238,6.147187
0.050000,2.005568,22.420741,0.508278,1.787436,3.352486,-0.913103,6.115421
0.050000,2.101585,22.402726,0.605970,1.953836,3.328004,-0.489649,6.079884
0.050000,2.204997,22.379287,0.712005,2.120702,3.337323,0.186397,6.040600
0.050000,2.315551,22.349402,0.826527,2.290444,3.394844,1.150410,5.997708
0.050000,2.433035,22.311949,0.949837,2.466197,3.515058,2.404287,5.951496
0.050000,2.557292,22.265702,1.082421,2.651685,3.709757,3.893969,5.902435
0.050000,2.688220,22.209335,1.224966,2.850906,3.984415,5.493173,5.851185
0.050000,2.825757,22.141441,1.378349,3.067643,4.334748,7.006644,5.798590
0.050000,2.969859,22.060568,1.543593,3.304890,4.744941,8.203868,5.745637
0.050000,3.120464,21.965283,1.721810,3.564340,5.188992,8.881012,5.693396
0.050000,3.277475,21.854247,1.914116,3.846112,5.635456,8.929298,5.642940
0.050000,3.440760,21.726301,2.121557,4.148828,6.054303,8.376939,5.595277
0.050000,3.610179,21.580530,2.345057,4.469997,6.423396,7.381857,5.551295
0.050000,3.785649,21.416307,2.585388,4.806617,6.732385,6.179774,5.511738
0.050000,3.967212,21.233304,2.843177,5.155776,6.983187,5.016033,5.477209
0.050000,4.155114,21.031474,3.118935,5.515167,7.187817,4.092602,5.448201
0.050000,4.349891,20.811023,3.413106,5.883423,7.365127,3.546212,5.425140
0.050000,4.551502,20.573503,3.724656,6.230992,6.951379,-8.274972,5.408504
0.050000,4.759361,20.321965,4.050962,6.526136,5.902877,-20.970033,5.398715
0.050000,4.972969,20.060169,4.388847,6.757685,4.630989,-25.437759,5.396039
0.050000,5.191051,19.793401,4.733412,6.891299,2.672271,-39.174365,5.400565
0.050000,5.412511,19.526917,5.079906,6.929882,0.771670,-38.012009,5.412134
0.050000,5.636991,19.264873,5.424954,6.900967,-0.578318,-26.999764,5.430445
0.050000,5.864006,19.011111,5.765440,6.809728,-1.824779,-24.929233,5.455061
0.050000,6.093683,18.768190,6.099749,6.686179,-2.470964,-12.923685,5.485516
0.050000,6.326578,18.537687,6.427425,6.553514,-2.653316,-3.647052,5.521371
0.050000,6.562849,18.321124,6.747931,6.410113,-2.868016,-4.293984,5.562111
0.050000,6.802197,18.119931,7.060605,6.253491,-3.132444,-5.288564,5.607096
0.050000,7.043821,17.935394,7.364639,6.080675,-3.456323,-6.477583,5.655548
0.050000,7.286421,17.768546,7.659076,5.888744,-3.838602,-7.645586,5.706544
0.050000,7.528249,17.620066,7.942849,5.675452,-4.265842,-8.544791,5.759053
0.050000,7.767221,17.490181,8.214838,5.439776,-4.713534,-8.953841,5.811996
0.050000,8.001081,17.378606,8.473950,5.182237,-5.150766,-8.744649,5.864319
0.050000,8.227575,17.284558,8.719194,4.904887,-5.547006,-7.924787,5.915067
0.050000,8.444618,17.206811,8.949742,4.610958,-5.878588,-6.631648,5.963440
0.050000,8.650408,17.143816,9.164958,4.304325,-6.132652,-5.081287,6.008827
0.050000,8.843489,17.093824,9.364405,3.988945,-6.307610,-3.499160,6.050806
0.050000,9.022757,17.055017,9.547825,3.668403,-6.410826,-2.064313,6.089129
0.050000,9.187433,17.025605,9.715108,3.345652,-6.455020,-0.883890,6.123691
0.050000,9.337013,17.003907,9.866254,3.022911,-6.454818,0.004049,6.154491
0.050000,9.471205,16.988393,10.001339,2.701699,-6.424236,0.611635,6.181606
0.050000,9.589871,16.977711,10.120485,2.382935,-6.375283,0.979057,6.205152
0.050000,9.692986,16.970693,10.223838,2.067062,-6.317461,1.156447,6.225269
0.050000,9.780587,16.966355,10.311547,1.754170,-6.257839,1.192440,6.242101
0.050000,9.852750,16.963884,10.383752,1.444099,-6.201422,1.128350,6.255785
0.050000,9.909562,16.962630,10.440578,1.136519,-6.151595,0.996533,6.266440
0.050000,9.951108,16.962095,10.482127,0.830992,-6.110557,0.820755,6.274166
0.050000,9.977949,16.961920,10.508969,0.536829,-5.883251,4.546126,6.279127
0.050000,9.992513,16.961880,10.523533,0.291272,-4.911137,19.442273,6.281809
0.050000,9.998601,16.961875,10.529621,0.121765,-3.390145,30.419843,6.282928
0.050000,10.000000,16.961875,10.531020,0.027983,-1.875631,30.290273,0.000000
0.050000,10.000000,16.961875,10.531020,0.000000,-0.559667,26.319286,0.000000
