dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.503363,24.538124,0.003125,0.125000,2.500000,50.000000,6.282888
0.050000,1.517132,24.538112,0.016894,0.275377,3.007546,10.150911,6.281665
0.050000,1.544691,24.538036,0.044453,0.551179,5.516031,50.169712,6.279200
0.050000,1.586083,24.537794,0.085845,0.827843,5.533293,0.345240,6.275451
0.050000,1.641372,24.537226,0.141137,1.105840,5.559930,0.532733,6.270353
0.050000,1.710647,24.536111,0.210421,1.385684,5.596882,0.739042,6.263818
0.050000,1.794022,24.534161,0.293819,1.667958,5.645488,0.972117,6.255729
0.050000,1.891638,24.531004,0.391486,1.953337,5.707562,1.241484,6.245935
0.050000,2.003664,24.526178,0.503617,2.242612,5.785502,1.558792,6.234249
0.050000,2.130304,24.519106,0.630453,2.536733,5.882425,1.938460,6.220438
0.050000,2.271791,24.509073,0.772296,2.836850,6.002342,2.398340,6.204212
0.050000,2.428396,24.495196,0.929514,3.144368,6.150358,2.960326,6.185216
0.050000,2.600420,24.476379,1.102565,3.461012,6.332883,3.650504,6.163008
0.050000,2.788192,24.451255,1.292010,3.788901,6.557790,4.498145,6.137048
0.050000,2.992047,24.418118,1.498541,4.130621,6.834384,5.531885,6.106667
0.050000,3.212296,24.374824,1.723004,4.489264,7.172874,6.769787,6.071050
0.050000,3.449151,24.318673,1.966424,4.868400,7.582722,8.196953,6.029207
0.050000,3.702604,24.246270,2.230016,5.271835,8.068700,9.719568,5.979966
0.050000,3.972200,24.153385,2.515164,5.702968,8.622653,11.079057,5.921988
0.050000,4.256663,24.034857,2.823333,6.163383,9.208298,11.712907,5.853857
0.050000,4.553330,23.884678,3.155847,6.650264,9.737612,10.586284,5.774290
0.050000,4.857410,23.696445,3.513472,7.152510,10.044936,6.146470,5.682537
0.050000,5.161309,23.464438,3.895810,7.646751,9.884809,-3.202532,5.578976
0.050000,5.454575,23.185339,4.300657,8.096956,9.004099,-17.614212,5.465729
0.050000,5.725158,22.860017,4.723799,8.462834,7.317558,-33.730821,5.346870
0.050000,5.962011,22.494131,5.159657,8.717159,5.086497,-44.621219,5.227794
0.050000,6.157791,22.096688,5.602704,8.860938,2.875598,-44.217975,5.113851
0.050000,6.309987,21.677322,6.048833,8.922590,1.233039,-32.851185,5.009014
0.050000,6.420084,21.243988,6.495935,8.942024,0.388680,-16.887180,4.915321
0.050000,6.491801,20.802071,6.943633,8.953975,0.239022,-2.993148,4.833130
0.050000,6.529548,20.354631,7.392663,8.980585,0.532199,5.863536,4.761727
0.050000,6.538125,19.916142,7.831236,8.771472,-4.182276,-94.289509,4.712389
0.050000,6.538125,19.516142,8.231236,8.000000,-15.429432,-224.943104,4.712389
0.050000,6.538125,19.103642,8.643736,8.250000,5.000000,408.588632,4.712389
0.050000,6.538125,18.678642,9.068736,8.500000,5.000000,-0.000000,4.712389
0.050000,6.538125,18.241142,9.506236,8.750000,5.000000,-0.000000,4.712389
0.050000,6.538125,17.794267,9.953111,8.937500,3.750000,-25.000000,4.712389
0.050000,6.538125,17.344267,10.403111,9.000000,1.250000,-50.000000,4.712389
0.050000,6.538125,16.894267,10.853111,9.000000,0.000000,-25.000000,4.712389
0.050000,6.538125,16.444267,11.303111,9.000000,0.000000,0.000000,4.712389
0.050000,6.538125,15.994267,11.753111,9.000000,0.000000,0.000000,4.712389
0.050000,6.538125,15.544267,12.203111,9.000000,-0.000000,-0.000000,4.712389
0.050000,6.538125,15.094267,12.653111,9.000000,0.000000,0.000000,4.712389
0.050000,6.538125,14.644267,13.103111,9.000000,0.000000,-0.000000,4.712389
0.050000,6.538125,14.194267,13.553111,9.000000,0.000000,-0.000000,4.712389
0.050000,6.538125,13.744267,14.003111,9.000000,-0.000000,-0.000000,4.712389
0.050000,6.538125,13.294267,14.453111,9.000000,0.000000,0.000000,4.712389
0.050000,6.538125,12.844267,14.903111,9.000000,0.000000,-0.000000,4.712389
