dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.502745,22.461875,0.003125,0.125000,2.500000,50.000000,6.282888
0.050000,1.513977,22.461864,0.014356,0.224623,1.992454,-10.150923,6.281665
0.050000,1.536417,22.461803,0.036797,0.448821,4.483964,49.830211,6.279200
0.050000,1.570025,22.461606,0.070405,0.672156,4.466694,-0.345401,6.275451
0.050000,1.614730,22.461147,0.115113,0.894158,4.440044,-0.532998,6.270353
0.050000,1.670439,22.460251,0.170828,1.114311,4.403072,-0.739441,6.263818
0.050000,1.737022,22.458693,0.237430,1.332033,4.354438,-0.972697,6.255729
0.050000,1.814314,22.456195,0.314763,1.546649,4.292322,-1.242313,6.245935
0.050000,1.902101,22.452414,0.402631,1.757366,4.214323,-1.559978,6.234249
0.050000,2.000110,22.446942,0.500792,1.963231,4.117315,-1.940152,6.220438
0.050000,2.107994,22.439294,0.608947,2.163095,3.997277,-2.400771,6.204212
0.050000,2.225312,22.428902,0.726725,2.355549,3.849085,-2.963833,6.185216
0.050000,2.351503,22.415104,0.853668,2.538865,3.666305,-3.655599,6.163008
0.050000,2.485853,22.397136,0.989214,2.710916,3.441025,-4.505600,6.137048
0.050000,2.627452,22.374130,1.132669,2.869110,3.163882,-5.542858,6.106667
0.050000,2.775146,22.345116,1.283186,3.010339,2.824582,-6.786002,6.071050
0.050000,2.927480,22.309027,1.439737,3.131016,2.413536,-8.220924,6.029207
0.050000,3.082648,22.264738,1.601102,3.227306,1.925798,-9.754757,5.979966
0.050000,3.238465,22.211106,1.765891,3.295772,1.369312,-11.129730,5.921988
0.050000,3.392403,22.147036,1.932630,3.334780,0.780162,-11.782985,5.853857
0.050000,3.541754,22.071524,2.099985,3.347098,0.246368,-10.675884,5.774290
0.050000,3.683960,21.983603,2.267175,3.343805,-0.065866,-6.244677,5.682537
0.050000,3.817080,21.882078,2.434591,3.348330,0.090495,3.127214,5.578976
0.050000,3.940142,21.765019,2.604436,3.396892,0.971243,17.614965,5.465729
0.050000,4.052989,21.629301,2.780941,3.530093,2.664030,33.855736,5.346870
0.050000,4.155480,21.470774,2.969713,3.775448,4.907101,44.861415,5.227794
0.050000,4.246622,21.285363,3.176314,4.132024,7.131525,44.488486,5.113851
0.050000,4.324410,21.070446,3.404876,4.571227,8.784041,33.050321,5.009014
0.050000,4.386439,20.825537,3.657518,5.052857,9.632602,16.971221,4.915321
0.050000,4.430667,20.551992,3.934616,5.541946,9.781783,2.983609,4.833130
0.050000,4.455825,20.252234,4.235427,6.016231,9.485700,-5.921656,4.761727
