dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.502824,24.538125,0.003125,0.125000,2.500000,50.000000,0.000168
0.050000,1.514599,24.538131,0.014900,0.235491,2.209818,-5.803640,0.000867
0.050000,1.538151,24.538168,0.038452,0.471057,4.711321,50.030051,0.002261
0.050000,1.573490,24.538285,0.073791,0.706774,4.714339,0.060361,0.004343
0.050000,1.620625,24.538555,0.120927,0.942719,4.718898,0.091179,0.007101
0.050000,1.679571,24.539074,0.179876,1.178970,4.725034,0.122731,0.010522
0.050000,1.750346,24.539963,0.250656,1.415610,4.732795,0.155213,0.014587
0.050000,1.832970,24.541363,0.333292,1.652722,4.742234,0.188777,0.019272
0.050000,1.927467,24.543434,0.427812,1.890392,4.753410,0.223528,0.024551
0.050000,2.033863,24.546359,0.534247,2.128712,4.766385,0.259508,0.030393
0.050000,2.152185,24.550334,0.652636,2.367773,4.781220,0.296700,0.036761
0.050000,2.282463,24.555575,0.783020,2.607671,4.797971,0.335016,0.043616
0.050000,2.424729,24.562306,0.925445,2.848506,4.816686,0.374303,0.050912
0.050000,2.579016,24.570766,1.079964,3.090376,4.837403,0.414341,0.058600
0.050000,2.745358,24.581198,1.246633,3.333383,4.860146,0.454856,0.066624
0.050000,2.923792,24.593853,1.425514,3.577629,4.884923,0.495527,0.074926
0.050000,3.114353,24.608980,1.616675,3.823215,4.911723,0.536005,0.083440
0.050000,3.317081,24.626826,1.820187,4.070241,4.940519,0.575929,0.092097
0.050000,3.532017,24.647632,2.036127,4.318805,4.971267,0.614956,0.100824
0.050000,3.759203,24.671626,2.264577,4.569000,5.003906,0.652782,0.109541
0.050000,3.998687,24.699023,2.505623,4.820918,5.038365,0.689168,0.118165
0.050000,4.250520,24.730012,2.759355,5.074646,5.074563,0.723969,0.126610
0.050000,4.514758,24.764761,3.025869,5.330267,5.112421,0.757152,0.134784
0.050000,4.791466,24.803404,3.305262,5.587860,5.151862,0.788817,0.142593
0.050000,5.080716,24.846036,3.597637,5.847501,5.192822,0.819202,0.149937
0.050000,5.382592,24.892711,3.903100,6.109264,5.235256,0.848689,0.156715
0.050000,5.697191,24.943432,4.221761,6.373222,5.279146,0.877794,0.162821
0.050000,6.024623,24.998146,4.553734,6.639447,5.324503,0.907144,0.168145
0.050000,6.365018,25.056736,4.899134,6.908015,5.371375,0.937447,0.172575
0.050000,6.718525,25.119015,5.258085,7.179008,5.419847,0.969442,0.175994
0.050000,7.085312,25.184715,5.630710,7.452510,5.470039,1.003836,0.178281
0.050000,7.465575,25.253483,6.017141,7.728615,5.522100,1.041217,0.179311
0.050000,7.859531,25.324867,6.417512,8.007425,5.576197,1.081946,0.178954
0.050000,8.267425,25.398308,6.831965,8.289050,5.632498,1.126014,0.177073
0.050000,8.689525,25.473128,7.260645,8.573607,5.691141,1.172856,0.173527
0.050000,9.126125,25.548519,7.703706,8.861216,5.752197,1.221121,0.168170
0.050000,9.574392,25.623018,8.158121,9.088310,4.541876,-24.206418,0.160906
0.050000,10.028276,25.694627,8.617619,9.189960,2.033001,-50.177509,0.151755
0.050000,10.484753,25.761940,9.079033,9.228264,0.766074,-25.338537,0.140759
0.050000,10.943898,25.824064,9.542362,9.266591,0.766545,0.009421,0.127916
0.050000,11.405755,25.880092,10.007605,9.304853,0.765230,-0.026302,0.113229
0.050000,11.870323,25.929106,10.474751,9.342916,0.761261,-0.079367,0.096707
0.050000,12.337551,25.970179,10.943781,9.380599,0.753671,-0.151816,0.078370
0.050000,12.807331,26.002385,11.414664,9.417670,0.741416,-0.245091,0.058246
0.050000,13.279492,26.024805,11.887356,9.453842,0.723430,-0.359726,0.036378
0.050000,13.753785,26.036538,12.361795,9.488776,0.698680,-0.495003,0.012826
0.050000,14.238067,26.035728,12.846078,9.685657,3.937623,64.778861,6.262860
0.050000,14.735625,26.014304,13.344096,9.960367,5.494205,31.131638,6.216562
0.050000,15.238114,25.967713,13.848741,10.092889,2.650432,-56.875450,6.163869
0.050000,15.744824,25.891749,14.361113,10.247444,3.091100,8.813367,6.103713
0.050000,16.254274,25.781468,14.882363,10.425006,3.551247,9.202935,6.034980
0.050000,16.763774,25.631278,15.413538,10.623503,3.969951,8.374069,5.956655
0.050000,17.268859,25.435318,15.955305,10.835344,4.236820,5.337394,5.868088
0.050000,17.762761,25.188281,16.507543,11.044747,4.188047,-0.975462,5.769389
0.050000,18.236248,24.886766,17.068881,11.226771,3.640480,-10.951342,5.661878
0.050000,18.678347,24.530865,17.636435,11.351078,2.486143,-23.086750,5.548348
0.050000,19.078195,24.125208,18.206028,11.391859,0.815626,-33.410338,5.432841
0.050000,19.427457,23.678567,18.773013,11.339697,-1.043239,-37.177292,5.319862
0.050000,19.722084,23.201952,19.333341,11.206552,-2.662898,-32.393172,5.213330
0.050000,19.962499,22.706196,19.884315,11.019487,-3.741301,-21.568076,5.115854
0.050000,20.152427,22.200240,20.424745,10.808594,-4.217870,-9.531382,5.028580
0.050000,20.297310,21.690545,20.954632,10.597747,-4.216938,0.018648,4.951500
0.050000,20.403009,21.181319,21.474712,10.401591,-3.923126,5.876232,4.883899
0.050000,20.475047,20.675076,21.986055,10.226873,-3.494351,8.575513,4.824736
0.050000,20.518279,20.173176,22.489813,10.075165,-3.034159,9.203845,4.772898
0.050000,20.536817,19.676259,22.987076,9.945247,-2.598352,8.716126,4.727330
