dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.503172,22.461875,0.003125,0.125000,2.500000,50.000000,0.000168
0.050000,1.516398,22.461882,0.016350,0.264509,2.790182,5.803636,0.000867
0.050000,1.542845,22.461923,0.042798,0.528943,5.288678,49.969925,0.002261
0.050000,1.582506,22.462054,0.082459,0.793226,5.285658,-0.060409,0.004343
0.050000,1.635369,22.462357,0.135323,1.057281,5.281095,-0.091248,0.007101
0.050000,1.701418,22.462939,0.201374,1.321028,5.274954,-0.122820,0.010522
0.050000,1.780631,22.463934,0.280594,1.584388,5.267188,-0.155317,0.014587
0.050000,1.872982,22.465498,0.372957,1.847275,5.257744,-0.188894,0.019272
0.050000,1.978437,22.467810,0.478438,2.109603,5.246561,-0.223650,0.024551
0.050000,2.096956,22.471068,0.597002,2.371282,5.233579,-0.259633,0.030393
0.050000,2.228493,22.475487,0.728613,2.632219,5.218739,-0.296819,0.036761
0.050000,2.372992,22.481299,0.873229,2.892318,5.201982,-0.335123,0.043616
0.050000,2.530390,22.488746,1.030803,3.151481,5.183263,-0.374391,0.050912
0.050000,2.700614,22.498080,1.201283,3.409608,5.162543,-0.414404,0.058600
0.050000,2.883585,22.509555,1.384613,3.666598,5.139798,-0.454887,0.066624
0.050000,3.079211,22.523428,1.580730,3.922349,5.115022,-0.495520,0.074926
0.050000,3.287394,22.539953,1.789568,4.176761,5.088225,-0.535953,0.083440
0.050000,3.508028,22.559375,2.011055,4.429732,5.059433,-0.575831,0.092097
0.050000,3.740997,22.581926,2.245113,4.681167,5.028693,-0.614809,0.100824
0.050000,3.986182,22.607820,2.491662,4.930970,4.996063,-0.652586,0.109541
0.050000,4.243457,22.637251,2.750614,5.179051,4.961617,-0.688926,0.118165
0.050000,4.512692,22.670381,3.021881,5.425323,4.925433,-0.723687,0.126610
0.050000,4.793757,22.707342,3.305366,5.669702,4.887591,-0.756838,0.134784
0.050000,5.086522,22.748226,3.600971,5.912110,4.848167,-0.788484,0.142593
0.050000,5.390858,22.793081,3.908595,6.152472,4.807223,-0.818866,0.149937
0.050000,5.706641,22.841905,4.228130,6.390712,4.764805,-0.848371,0.156715
0.050000,6.033755,22.894643,4.559468,6.626758,4.720929,-0.877518,0.162821
0.050000,6.372091,22.951178,4.902495,6.860537,4.675582,-0.906939,0.168145
0.050000,6.721551,23.011327,5.257094,7.091973,4.628715,-0.937347,0.172575
0.050000,7.082049,23.074837,5.623143,7.320985,4.580240,-0.969487,0.175994
0.050000,7.453511,23.141374,6.000517,7.547487,4.530037,-1.004073,0.178281
0.050000,7.835878,23.210522,6.389087,7.771384,4.477952,-1.041701,0.179311
0.050000,8.229104,23.281774,6.788715,7.992575,4.423815,-1.082740,0.178954
0.050000,8.633154,23.354523,7.199263,8.210948,4.367455,-1.127193,0.177073
0.050000,9.048006,23.428060,7.620582,8.426384,4.308730,-1.174506,0.173527
