dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.501331,24.538125,0.001563,0.062500,1.250000,25.000000,6.283088
0.050000,1.508093,24.538123,0.008324,0.135236,1.454719,4.094388,6.282595
0.050000,1.523311,24.538105,0.023542,0.304361,3.382508,38.555772,6.281482
0.050000,1.550379,24.538032,0.050611,0.541364,4.740056,27.150961,6.279490
0.050000,1.591014,24.537821,0.091247,0.812720,5.427118,13.741248,6.276469
0.050000,1.645258,24.537346,0.145492,1.084909,5.443772,0.333066,6.272380
0.050000,1.713164,24.536436,0.213404,1.358249,5.466806,0.460685,6.267166
0.050000,1.794804,24.534867,0.295059,1.633098,5.496984,0.603553,6.260755
0.050000,1.890264,24.532359,0.390553,1.909866,5.535350,0.767322,6.253055
0.050000,1.999650,24.528567,0.500004,2.189029,5.583270,0.958402,6.243951
0.050000,2.123085,24.523067,0.623562,2.471155,5.642527,1.185134,6.233298
0.050000,2.260715,24.515347,0.761408,2.756926,5.715418,1.457839,6.220923
0.050000,2.412707,24.504788,0.913767,3.047172,5.804911,1.789850,6.206609
0.050000,2.579253,24.490637,1.080912,3.342912,5.914802,2.197812,6.190091
0.050000,2.760566,24.471983,1.263183,3.645410,6.049958,2.703123,6.171044
0.050000,2.956883,24.447711,1.460995,3.956238,6.216564,3.332135,6.149066
0.050000,3.168455,24.416454,1.674863,4.277358,6.422396,4.116623,6.123661
0.050000,3.395531,24.376524,1.905423,4.611207,6.676991,5.091910,6.094215
0.050000,3.638333,24.325822,2.153462,4.960785,6.991556,6.291306,6.059969
0.050000,3.896994,24.261722,2.419947,5.329689,7.378081,7.730486,6.019991
0.050000,4.171452,24.180935,2.706048,5.722025,7.846719,9.372761,5.973149
0.050000,4.461264,24.079350,3.013148,6.142005,8.399591,11.057441,5.918109
0.050000,4.765277,23.951906,3.342793,6.592900,9.017905,12.366278,5.853374
0.050000,5.081104,23.792575,3.696535,7.074841,9.638821,12.418334,5.777442
0.050000,5.404384,23.594667,4.075583,7.580953,10.122235,9.668272,5.689138
0.050000,5.727946,23.351736,4.480191,8.092163,10.224196,2.039209,5.588206
0.050000,6.041394,23.059306,4.908870,8.573572,9.628181,-11.920287,5.476077
0.050000,6.331941,22.717065,5.357808,8.978774,8.104052,-30.482579,5.356432
0.050000,6.587006,22.330236,5.821160,9.267035,5.765215,-46.776736,5.234927
0.050000,6.797615,21.908630,6.292443,9.425665,3.172596,-51.852391,5.117838
0.050000,6.960434,21.463577,6.766345,9.478026,1.047215,-42.507622,5.010308
0.050000,7.077259,21.004775,7.239787,9.468841,-0.183689,-24.618069,4.915309
0.050000,7.152950,20.538800,7.711869,9.441648,-0.543870,-7.203636,4.833707
0.050000,7.193392,20.069250,8.183158,9.425770,-0.317555,4.526307,4.764947
0.050000,7.204270,19.597607,8.654926,9.435360,0.191810,10.187302,4.707794
0.050000,7.190588,19.124103,9.128627,9.474034,0.773473,11.633269,4.660839
0.050000,7.156759,18.650009,9.603927,9.505995,0.639226,-2.684958,4.622895
0.050000,7.106961,18.177831,10.078724,9.495929,-0.201332,-16.811148,4.592971
0.050000,7.045121,17.709794,10.550828,9.442097,-1.076637,-17.506099,4.570163
0.050000,6.974886,17.248018,11.017915,9.341733,-2.007277,-18.612796,4.553699
0.050000,6.899354,16.793057,11.479103,9.223759,-2.359490,-7.044262,4.542920
0.050000,6.821046,16.344056,11.934882,9.115570,-2.163763,3.914532,4.537353
0.050000,6.742261,15.900382,12.385497,9.012304,-2.065336,1.968536,4.536760
0.050000,6.665195,15.461621,12.830974,8.909539,-2.055287,0.200978,4.541117
0.050000,6.592041,15.027598,13.271119,8.802903,-2.132735,-1.548947,4.550608
0.050000,6.525082,14.598407,13.705502,8.687665,-2.304754,-3.440376,4.565648
0.050000,6.466912,14.175594,14.132298,8.535909,-3.035119,-14.607307,4.586848
0.050000,6.420382,13.762524,14.547980,8.313639,-4.445390,-28.205423,4.614955
0.050000,6.388251,13.363280,14.948515,8.010707,-6.058652,-32.265234,4.650842
0.050000,6.372926,12.982338,15.329765,7.625009,-7.713961,-33.106194,4.695481
0.050000,6.376221,12.623514,15.688604,7.176769,-8.964796,-25.016699,4.750017
0.050000,6.399333,12.289683,16.023234,6.692607,-9.683247,-14.369012,4.815816
0.050000,6.442757,11.983694,16.332289,6.181104,-10.230049,-10.936032,4.894192
0.050000,6.506052,11.708203,16.614958,5.653375,-10.554586,-6.490741,4.985926
0.050000,6.587790,11.464814,16.871705,5.134933,-10.368839,3.714934,5.090570
0.050000,6.685944,11.253123,17.105045,4.666803,-9.362605,20.124686,5.205710
0.050000,6.798728,11.070333,17.319829,4.295688,-7.422302,38.806047,5.326680
0.050000,6.925260,10.912079,17.522449,4.052400,-4.865755,51.130937,5.447335
0.050000,7.065329,10.774042,17.719105,3.933116,-2.385674,49.601638,5.561710
0.050000,7.218417,10.653117,17.914191,3.901726,-0.627812,35.157232,5.665574
0.050000,7.382956,10.547463,18.109732,3.910806,0.181610,16.188436,5.756979
0.050000,7.556354,10.455918,18.305811,3.921594,0.215759,0.682989,5.835840
0.050000,7.735489,10.377460,18.501375,3.911269,-0.206496,-8.445109,5.903171
0.050000,7.917237,10.310978,18.694900,3.870509,-0.815196,-12.174003,5.960435
0.050000,8.098787,10.255248,18.884811,3.798216,-1.445865,-12.613378,6.009146
0.050000,8.277770,10.209006,19.069671,3.697206,-2.020193,-11.486554,6.050687
0.050000,8.452264,10.171014,19.248253,3.571633,-2.511465,-9.825450,6.086239
0.050000,8.620738,10.140111,19.419539,3.425711,-2.918451,-8.139713,6.116780
0.050000,8.781991,10.115240,19.582698,3.263196,-3.250289,-6.636767,6.143110
0.050000,8.935080,10.095454,19.737061,3.087247,-3.518989,-5.373987,6.165875
0.050000,9.079268,10.079920,19.882083,2.900439,-3.736150,-4.343235,6.185597
0.050000,9.213976,10.067908,20.017325,2.704849,-3.911811,-3.513205,6.202699
0.050000,9.338750,10.058783,20.142432,2.502139,-4.054199,-2.847774,6.217524
0.050000,9.453231,10.051999,20.257114,2.293644,-4.169892,-2.313857,6.230350
0.050000,9.557137,10.047084,20.361136,2.080441,-4.264065,-1.883459,6.241405
0.050000,9.650243,10.043637,20.454306,1.863402,-4.340771,-1.534116,6.250872
