dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.501130,22.461875,0.001563,0.062500,1.250000,25.000000,6.283088
0.050000,1.506868,22.461873,0.007301,0.114764,1.045281,-4.094384,6.282595
0.050000,1.519775,22.461858,0.020208,0.258139,2.867490,36.444188,6.281482
0.050000,1.542706,22.461796,0.043139,0.458636,4.009943,22.849060,6.279490
0.050000,1.577070,22.461618,0.077503,0.687279,4.572872,11.258580,6.276469
0.050000,1.622823,22.461217,0.123258,0.915090,4.556211,-0.333229,6.272380
0.050000,1.679905,22.460452,0.180345,1.141748,4.533168,-0.460860,6.267166
0.050000,1.748237,22.459139,0.248690,1.366897,4.502969,-0.603975,6.260755
0.050000,1.827716,22.457052,0.328196,1.590126,4.464580,-0.767780,6.253055
0.050000,1.918209,22.453915,0.418744,1.810957,4.416626,-0.959071,6.243951
0.050000,2.019550,22.449400,0.520185,2.028823,4.357325,-1.186029,6.233298
0.050000,2.131526,22.443121,0.632338,2.243042,4.284368,-1.459143,6.220923
0.050000,2.253871,22.434623,0.754977,2.452781,4.194789,-1.791572,6.206609
0.050000,2.386245,22.423378,0.887828,2.657020,4.084773,-2.200324,6.190091
0.050000,2.528220,22.408774,1.030552,2.854492,3.949441,-2.706640,6.171044
0.050000,2.679252,22.390106,1.182733,3.043621,3.782583,-3.337172,6.149066
0.050000,2.838645,22.366566,1.343855,3.222440,3.576390,-4.123859,6.123661
0.050000,3.005512,22.337235,1.513280,3.388504,3.321262,-5.102543,6.094215
0.050000,3.178719,22.301083,1.690220,3.538799,3.005917,-6.306908,6.059969
0.050000,3.356823,22.256970,1.873706,3.669712,2.618242,-7.753501,6.019991
0.050000,3.538003,22.203675,2.062561,3.777106,2.147899,-9.406863,5.973149
0.050000,3.720000,22.139932,2.255398,3.856733,1.592535,-11.107273,5.918109
0.050000,3.900105,22.064502,2.450661,3.905267,0.970673,-12.437242,5.853374
0.050000,4.075249,21.976241,2.646787,3.922516,0.344988,-12.513706,5.777442
0.050000,4.242266,21.874116,2.842553,3.915310,-0.144132,-9.782392,5.689138
0.050000,4.398378,21.757037,3.037690,3.902740,-0.251389,-2.145140,5.588206
0.050000,4.541739,21.623392,3.233683,3.919872,0.342645,11.880680,5.476077
0.050000,4.671616,21.470416,3.434356,4.013460,1.871759,30.582280,5.356432
0.050000,4.787820,21.294019,3.645589,4.224649,4.223764,47.040105,5.234927
0.050000,4.889696,21.089692,3.873905,4.566330,6.833618,52.197067,5.117838
0.050000,4.975644,20.854132,4.124654,5.014985,8.973118,42.790013,5.010308
0.050000,5.043609,20.586347,4.400930,5.525519,10.210670,24.751036,4.915309
0.050000,5.091960,20.287531,4.703633,6.054054,10.570699,7.200579,4.833707
0.050000,5.120009,19.960176,5.032187,6.571080,10.340531,-4.603371,4.764947
0.050000,5.128042,19.607148,5.385307,7.062396,9.826306,-10.284493,4.707794
0.050000,5.117096,19.231087,5.761527,7.524405,9.240195,-11.722220,4.660839
0.050000,5.088818,18.835573,6.158050,7.930459,8.121077,-22.382359,4.622895
0.050000,5.045497,18.425183,6.570721,8.253409,6.459000,-33.241530,4.592971
0.050000,4.989835,18.004095,6.995471,8.495014,4.832100,-32.538013,4.570163
0.050000,4.924724,17.576117,7.428374,8.658063,3.260983,-31.422335,4.553699
0.050000,4.852847,17.143236,7.867182,8.776154,2.361811,-17.983439,4.542920
0.050000,4.776520,16.705622,8.311402,8.884406,2.165040,-3.935417,4.537353
0.050000,4.697950,16.263159,8.760787,8.987696,2.065796,-1.984893,4.536760
0.050000,4.619323,15.815489,9.215310,9.090446,2.055008,-0.215747,4.541117
0.050000,4.542903,15.362032,9.675161,9.197030,2.131669,1.533215,4.550608
0.050000,4.471146,14.901986,10.140769,9.312165,2.302714,3.420897,4.565648
0.050000,4.407002,14.435564,10.611582,9.416246,2.081617,-4.421942,4.586848
0.050000,4.353979,13.964501,11.085619,9.480749,1.290056,-15.831204,4.614955
0.050000,4.315932,13.490987,11.560660,9.500811,0.401232,-17.776481,4.650842
0.050000,4.296973,13.017441,12.034585,9.478511,-0.445986,-16.944365,4.695481
0.050000,4.301441,12.545407,12.506640,9.441104,-0.748154,-6.043370,4.750017
0.050000,4.334179,12.075324,12.977861,9.424418,-0.333710,8.288891,4.815816
0.050000,4.400725,11.608300,13.449603,9.434831,0.208251,10.839214,4.894192
0.050000,4.506994,11.147328,13.922666,9.461255,0.528493,6.404843,4.985926
0.050000,4.658252,10.698198,14.396582,9.478325,0.341391,-3.742045,5.090570
0.050000,4.857255,10.269907,14.868848,9.445321,-0.660072,-20.029247,5.205710
0.050000,5.102053,9.873625,15.334644,9.315927,-2.587887,-38.556304,5.326680
0.050000,5.384960,9.519855,15.787622,9.059561,-5.127324,-50.788750,5.447335
0.050000,5.693981,9.215127,16.221619,8.679927,-7.592671,-49.306942,5.561710
0.050000,6.016083,8.960424,16.632256,8.212753,-9.343488,-35.016333,5.665574
0.050000,6.340147,8.752090,17.017510,7.705078,-10.153499,-16.200227,5.756979
