dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.502503,14.538125,0.003125,0.125000,2.500000,50.000000,0.000378
0.050000,1.513305,14.538138,0.013928,0.216054,1.821074,-13.578523,0.002013
0.050000,1.534891,14.538217,0.035514,0.431719,4.313300,49.844514,0.005301
0.050000,1.567220,14.538469,0.067844,0.646599,4.297606,-0.313876,0.010282
0.050000,1.610230,14.539056,0.110858,0.860284,4.273708,-0.477946,0.017011
0.050000,1.663836,14.540196,0.164475,1.072344,4.241187,-0.650425,0.025567
0.050000,1.727921,14.542170,0.228591,1.282319,4.199496,-0.833826,0.036051
0.050000,1.802340,14.545318,0.303077,1.489718,4.147988,-1.030156,0.048587
0.050000,1.886909,14.550052,0.387778,1.694016,4.085957,-1.240617,0.063324
0.050000,1.981397,14.556850,0.482510,1.894651,4.012712,-1.464898,0.080437
0.050000,2.085524,14.566269,0.587062,2.091036,3.927699,-1.700274,0.100133
0.050000,2.198946,14.578945,0.701191,2.282571,3.830700,-1.939964,0.122644
0.050000,2.321252,14.595598,0.824624,2.468679,3.722147,-2.171068,0.148231
0.050000,2.451948,14.617035,0.957067,2.648858,3.603583,-2.371273,0.177180
0.050000,2.590457,14.644152,1.098206,2.822774,3.478327,-2.505134,0.209791
0.050000,2.736111,14.677934,1.247726,2.990392,3.352353,-2.519469,0.246369
0.050000,2.888151,14.719455,1.405334,3.152160,3.235360,-2.339859,0.287194
0.050000,3.045745,14.769874,1.570796,3.309252,3.141833,-1.870551,0.332490
0.050000,3.208003,14.830437,1.743988,3.463835,3.091676,-1.003140,0.382378
0.050000,3.374012,14.902475,1.924954,3.619319,3.109676,0.360010,0.436815
0.050000,3.542876,14.987414,2.113977,3.780458,3.222776,2.262000,0.495526
0.050000,3.713746,15.086774,2.311636,3.953176,3.454369,4.631850,0.557955
0.050000,3.885839,15.202166,2.518834,4.143973,3.815930,7.231233,0.623231
0.050000,4.058425,15.335261,2.736779,4.358895,4.298447,9.650329,0.690193
0.050000,4.230791,15.487717,2.966894,4.602300,4.868105,11.393156,0.757469
0.050000,4.402205,15.661070,3.210685,4.875823,5.470460,12.047107,0.823612
0.050000,4.571902,15.856600,3.469585,5.177993,6.043396,11.458710,0.887243
0.050000,4.739111,16.075220,3.744819,5.504678,6.533694,9.805961,0.947182
0.050000,4.903125,16.317419,4.037327,5.850156,6.909552,7.517159,1.002527
0.050000,5.063388,16.583267,4.347745,6.208365,7.164189,5.092742,1.052665
0.050000,5.219576,16.872484,4.676441,6.573925,7.311203,2.940279,1.097242
0.050000,5.371653,17.184535,5.023577,6.942726,7.376010,1.296155,1.136102
0.050000,5.519904,17.518735,5.389183,7.312114,7.387764,0.235079,1.169217
0.050000,5.664950,17.874331,5.773224,7.680816,7.374048,-0.274316,1.196620
0.050000,5.807757,18.250579,6.175661,8.048746,7.358592,-0.309125,1.218346
0.050000,5.949646,18.646778,6.596501,8.416806,7.361199,0.052140,1.234390
0.050000,6.091336,19.059393,7.032766,8.725298,6.169834,-23.827296,1.244608
0.050000,6.232990,19.481825,7.478316,8.910989,3.713828,-49.120121,1.248895
0.050000,6.376022,19.910253,7.929989,9.033465,2.449521,-25.286144,1.247283
0.050000,6.522996,20.343866,8.387834,9.156900,2.468702,0.383622,1.239725
0.050000,6.676687,20.781934,8.852080,9.284920,2.560391,1.833770,1.225999
0.050000,6.840159,21.223721,9.323142,9.421236,2.726332,3.318832,1.205703
0.050000,7.016852,21.668384,9.801624,9.569650,2.968276,4.838867,1.178252
0.050000,7.210668,22.114823,10.288319,9.733896,3.284924,6.332974,1.142880
0.050000,7.426045,22.561465,10.784179,9.917199,3.666050,7.622507,1.098666
0.050000,7.667953,23.005968,11.290245,10.121312,4.082272,8.324443,1.044600
0.050000,7.941746,23.444802,11.807485,10.344802,4.469786,7.750284,0.979742
0.050000,8.252717,23.872777,12.336508,10.580474,4.713440,4.873074,0.903496
0.050000,8.605234,24.282669,12.877137,10.812574,4.641997,-1.428850,0.816030
0.050000,9.001427,24.665289,13.427925,11.015752,4.063562,-11.568700,0.718734
0.050000,9.439813,25.010436,13.985875,11.159007,2.865099,-23.969275,0.614505
0.050000,9.914649,25.308820,14.546680,11.216096,1.141798,-34.466011,0.507511
0.050000,10.416761,25.554266,15.105572,11.177836,-0.765216,-38.140276,0.402370
0.050000,10.935670,25.744988,15.658421,11.056986,-2.416987,-33.035422,0.303079
0.050000,11.461868,25.883300,16.202493,10.881432,-3.511084,-21.881950,0.212282
0.050000,11.988160,25.974196,16.736576,10.681675,-3.995139,-9.681092,0.131145
0.050000,12.509889,26.023772,17.260656,10.481583,-4.001834,-0.133908,0.059679
0.050000,13.021450,26.038125,17.772418,10.235249,-4.926687,-18.497046,0.000000
0.050000,13.471450,26.038125,18.222418,9.000000,-24.704982,-395.565898,0.000000
0.050000,13.921450,26.038125,18.672418,9.000000,0.000000,494.099633,0.000000
0.050000,14.371450,26.038125,19.122418,9.000000,0.000000,0.000000,0.000000
0.050000,14.821450,26.038125,19.572418,9.000000,-0.000000,-0.000000,0.000000
0.050000,15.271450,26.038125,20.022418,9.000000,-0.000000,0.000000,0.000000
0.050000,15.721450,26.038125,20.472418,9.000000,0.000000,0.000000,0.000000
0.050000,16.171450,26.038125,20.922418,9.000000,0.000000,-0.000000,0.000000
0.050000,16.621450,26.038125,21.372418,9.000000,-0.000000,-0.000000,0.000000
0.050000,17.071450,26.038125,21.822418,9.000000,0.000000,0.000000,0.000000
0.050000,17.521450,26.038125,22.272418,9.000000,-0.000000,-0.000000,0.000000
0.050000,17.971450,26.038125,22.722418,9.000000,0.000000,0.000000,0.000000
0.050000,18.421450,26.038125,23.172418,9.000000,0.000000,0.000000,0.000000
0.050000,18.871450,26.038125,23.622418,9.000000,0.000000,0.000000,0.000000
0.050000,19.321450,26.038125,24.072418,9.000000,0.000000,-0.000000,0.000000
0.050000,19.771450,26.038125,24.522418,9.000000,0.000000,-0.000000,0.000000
0.050000,20.221181,26.038125,24.972149,8.994623,-0.107533,-2.150669,0.000000
0.050000,20.667250,26.038125,25.418218,8.921370,-1.465067,-27.150669,0.000000
0.050000,21.103674,26.038125,25.854642,8.728493,-3.857533,-47.849331,0.000000
0.050000,21.527599,26.038125,26.278567,8.478493,-5.000000,-22.849331,0.000000
0.050000,21.939024,26.038125,26.689992,8.228493,-5.000000,0.000000,0.000000
0.050000,22.337948,26.038125,27.088916,7.978493,-5.000000,-0.000000,0.000000
0.050000,22.724373,26.038125,27.475341,7.728493,-5.000000,0.000000,0.000000
