dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.503287,12.461876,0.003125,0.125000,2.500000,50.000000,0.000378
0.050000,1.517484,12.461893,0.017322,0.283946,3.178924,13.578488,0.002013
0.050000,1.545898,12.461996,0.045736,0.568281,5.686693,50.155382,0.005301
0.050000,1.588567,12.462329,0.088406,0.853400,5.702372,0.313580,0.010282
0.050000,1.645547,12.463106,0.145392,1.139712,5.726247,0.477482,0.017011
0.050000,1.716914,12.464625,0.216774,1.427649,5.758736,0.649784,0.025567
0.050000,1.802756,12.467269,0.302658,1.717668,5.800382,0.832922,0.036051
0.050000,1.903179,12.471519,0.403171,2.010259,5.851829,1.028935,0.048587
0.050000,2.018296,12.477963,0.518468,2.305948,5.913777,1.238965,0.063324
0.050000,2.148225,12.487313,0.648733,2.605294,5.986913,1.462729,0.080437
0.050000,2.293078,12.500419,0.794177,2.908883,6.071783,1.697393,0.100133
0.050000,2.452947,12.518291,0.955043,3.217313,6.168594,1.936222,0.122644
0.050000,2.627890,12.542117,1.131600,3.531158,6.276902,2.166148,0.148231
0.050000,2.817896,12.573290,1.324146,3.850915,6.395151,2.364982,0.177180
0.050000,3.022849,12.613425,1.532992,4.176916,6.520009,2.497159,0.209791
0.050000,3.242475,12.664378,1.758451,4.509190,6.645489,2.509606,0.246369
0.050000,3.476274,12.728243,2.000816,4.847284,6.761890,2.328016,0.287194
0.050000,3.723428,12.807335,2.260317,5.190022,6.854744,1.857087,0.332490
0.050000,3.982710,12.904134,2.537078,5.535231,6.904189,0.988903,0.382378
0.050000,4.252380,13.021177,2.831054,5.879508,6.885528,-0.373225,0.436815
0.050000,4.530121,13.160899,3.141959,6.218105,6.771954,-2.271480,0.495526
0.050000,4.813022,13.325409,3.469215,6.545118,6.540250,-4.634078,0.557955
0.050000,5.097667,13.516257,3.811919,6.854073,6.179109,-7.222828,0.623231
0.050000,5.380343,13.734215,4.168866,7.138955,5.697639,-9.629399,0.690193
0.050000,5.657351,13.979161,4.538638,7.395435,5.129604,-11.360693,0.757469
0.050000,5.925353,14.250100,4.919733,7.621897,4.529233,-12.007423,0.823612
0.050000,6.181688,14.545339,5.310724,7.819813,3.958318,-11.418295,0.887243
0.050000,6.424555,14.862747,5.710389,7.993301,3.469756,-9.771236,0.947182
0.050000,6.653058,15.200035,6.117791,8.148058,3.095137,-7.492396,1.002527
0.050000,6.867122,15.554988,6.532297,8.290116,2.841175,-5.079223,1.052665
0.050000,7.067341,15.925605,6.953539,8.424833,2.694335,-2.936805,1.097242
0.050000,7.254810,16.310158,7.381354,8.556299,2.629323,-1.300245,1.136102
0.050000,7.430978,16.707186,7.815712,8.687155,2.617119,-0.244082,1.169217
0.050000,7.597542,17.115449,8.256645,8.818667,2.630246,0.262552,1.196620
0.050000,7.756379,17.533861,8.704191,8.950920,2.645043,0.295936,1.218346
0.050000,7.909515,17.961414,9.158341,9.083006,2.641732,-0.066223,1.234390
0.050000,8.058107,18.394091,9.615823,9.149624,1.332362,-26.187402,1.244608
0.050000,8.202595,18.824960,10.070272,9.088997,-1.212550,-50.898231,1.248895
0.050000,8.344565,19.250214,10.518599,8.966533,-2.449285,-24.734701,1.247283
0.050000,8.486494,19.668969,10.960752,8.843057,-2.469520,-0.404702,1.239725
0.050000,8.630737,20.080149,11.396499,8.714939,-2.562359,-1.856788,1.225999
0.050000,8.779564,20.482424,11.825421,8.578455,-2.729684,-3.346488,1.205703
