dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.501087,14.538125,0.001533,0.061335,1.226694,24.533879,0.000325
0.050000,1.505768,14.538130,0.006214,0.093612,0.645554,-11.622805,0.001724
0.050000,1.516294,14.538165,0.016740,0.210513,2.338007,33.849069,0.004879
0.050000,1.534986,14.538308,0.035432,0.373857,3.266877,18.577405,0.010505
0.050000,1.562977,14.538721,0.063426,0.559875,3.720378,9.070006,0.018989
0.050000,1.600209,14.539640,0.100670,0.744867,3.699839,-0.410776,0.030379
0.050000,1.646606,14.541383,0.147100,0.928605,3.674754,-0.501703,0.044735
0.050000,1.702076,14.544348,0.202649,1.110975,3.647395,-0.547169,0.062125
0.050000,1.766508,14.549018,0.267250,1.292023,3.620962,-0.528674,0.082610
0.050000,1.839781,14.555955,0.340850,1.472011,3.599764,-0.423947,0.106242
0.050000,1.921765,14.565810,0.423424,1.651480,3.589377,-0.207735,0.133046
0.050000,2.012329,14.579313,0.514990,1.831313,3.596669,0.145831,0.163004
0.050000,2.111351,14.597283,0.615630,2.012794,3.629609,0.658805,0.196037
0.050000,2.218726,14.620622,0.725511,2.197631,3.696734,1.342493,0.231982
0.050000,2.334371,14.650315,0.844908,2.387939,3.806168,2.188682,0.270577
0.050000,2.458239,14.687428,0.974216,2.586150,3.964212,3.160871,0.311440
0.050000,2.590308,14.733094,1.113957,2.794833,4.173671,4.189198,0.354066
0.050000,2.730585,14.788499,1.264780,3.016451,4.432349,5.173560,0.397834
0.050000,2.879089,14.854853,1.427433,3.253064,4.732261,5.998228,0.442021
0.050000,3.035836,14.933348,1.602736,3.506069,5.060107,6.556920,0.485838
0.050000,3.200837,15.025112,1.791538,3.776028,5.399181,6.781482,0.528469
0.050000,3.374094,15.131154,1.994670,4.062645,5.732347,6.663315,0.569112
0.050000,3.555619,15.252313,2.212916,4.364908,6.045261,6.258277,0.607014
0.050000,3.745472,15.389221,2.446983,4.681354,6.328914,5.673072,0.641493
0.050000,3.943803,15.542273,2.697503,5.010399,6.580895,5.039611,0.671942
0.050000,4.150914,15.711622,2.965036,5.350664,6.805311,4.488327,0.697821
0.050000,4.367322,15.897171,3.250099,5.701254,7.011789,4.129563,0.718633
0.050000,4.592730,16.097593,3.551724,6.032501,6.624932,-7.737143,0.733833
0.050000,4.826030,16.310164,3.867343,6.312384,5.597662,-20.545393,0.742940
0.050000,5.066147,16.531553,4.193946,6.532051,4.393347,-24.086313,0.745647
0.050000,5.310972,16.757031,4.526782,6.656722,2.493429,-37.998349,0.741847
0.050000,5.558456,16.981779,4.861087,6.686098,0.587517,-38.118248,0.731698
0.050000,5.807423,17.201958,5.193447,6.647196,-0.778052,-27.311383,0.715532
0.050000,6.056509,17.413967,5.520543,6.541925,-2.105417,-26.547298,0.693843
0.050000,6.305140,17.615418,5.840543,6.400009,-2.838325,-14.658151,0.667171
0.050000,6.553443,17.804968,6.152927,6.247664,-3.046902,-4.171545,0.636016
0.050000,6.801223,17.981433,6.457122,6.083905,-3.275162,-4.565210,0.600929
0.050000,7.047948,18.143813,6.752487,5.907310,-3.531910,-5.134947,0.562529
0.050000,7.292752,18.291330,7.038302,5.716298,-3.820238,-5.766564,0.521510
0.050000,7.534458,18.423480,7.313776,5.509466,-4.136650,-6.328240,0.478636
0.050000,7.771645,18.540076,7.578071,5.285906,-4.471187,-6.690734,0.434712
0.050000,8.002727,18.641282,7.830344,5.045461,-4.808910,-6.754475,0.390554
0.050000,8.226063,18.727616,8.069785,4.788831,-5.132600,-6.473796,0.346941
0.050000,8.440054,18.799921,8.295662,4.517531,-5.425985,-5.867704,0.304580
0.050000,8.643236,18.859313,8.507347,4.233702,-5.676583,-5.011955,0.264076
0.050000,8.834344,18.907098,8.704339,3.939833,-5.877375,-4.015830,0.225911
0.050000,9.012340,18.944700,8.886263,3.638481,-6.027051,-2.993518,0.190446
0.050000,9.176420,18.973573,9.052864,3.332027,-6.129077,-2.040526,0.157927
0.050000,9.325999,18.995141,9.203990,3.022521,-6.190130,-1.221065,0.128501
0.050000,9.460678,19.010746,9.339570,2.711598,-6.218456,-0.566513,0.102235
0.050000,9.580209,19.021614,9.459594,2.400472,-6.222524,-0.081369,0.079138
0.050000,9.684457,19.028834,9.564092,2.089965,-6.210130,0.247876,0.059181
0.050000,9.773371,19.033349,9.653120,1.780569,-6.187922,0.444166,0.042310
0.050000,9.846951,19.035953,9.726746,1.472506,-6.161252,0.533401,0.028461
0.050000,9.905225,19.037294,9.785035,1.165795,-6.134233,0.540387,0.017567
0.050000,9.948236,19.037878,9.828050,0.860300,-6.109896,0.486743,0.009572
0.050000,9.976347,19.038073,9.856162,0.562236,-5.961289,2.972128,0.004367
0.050000,9.991808,19.038119,9.871623,0.309215,-5.060404,18.017712,0.001511
0.050000,9.998426,19.038125,9.878241,0.132370,-3.536908,30.469919,0.000290
0.050000,10.000000,19.038125,9.879815,0.031476,-2.017877,30.380615,0.000000
0.050000,10.000000,19.038125,9.879815,0.000000,-0.629523,27.767073,0.000000
