dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.501762,12.461875,0.001533,0.061335,1.226694,24.533879,0.000325
0.050000,1.509348,12.461883,0.009120,0.151726,1.807834,11.622799,0.001724
0.050000,1.526423,12.461939,0.026195,0.341499,3.795458,39.752488,0.004879
0.050000,1.556797,12.462173,0.056570,0.607497,5.319959,30.490010,0.010505
0.050000,1.602400,12.462845,0.102177,0.912153,6.093112,15.463056,0.018989
0.050000,1.663273,12.464348,0.163069,1.217832,6.113589,0.409542,0.030379
0.050000,1.739457,12.467210,0.239307,1.524762,6.138589,0.499998,0.044735
0.050000,1.830979,12.472104,0.330960,1.833053,6.165836,0.544943,0.062125
0.050000,1.937832,12.479848,0.438093,2.142660,6.192131,0.525899,0.082610
0.050000,2.059951,12.491412,0.560758,2.453318,6.213161,0.420614,0.106242
0.050000,2.197188,12.507909,0.698983,2.764486,6.223357,0.203911,0.133046
0.050000,2.349270,12.530585,0.852747,3.075279,6.215856,-0.150011,0.163004
0.050000,2.515771,12.560801,1.021967,3.384414,6.182704,-0.663051,0.196037
0.050000,2.696071,12.599989,1.206477,3.690183,6.115385,-1.346375,0.231982
0.050000,2.889327,12.649606,1.406000,3.990473,6.005805,-2.191603,0.270577
0.050000,3.094463,12.711060,1.620143,4.282858,5.847698,-3.162131,0.311440
0.050000,3.310175,12.785633,1.848382,4.564773,5.638293,-4.188100,0.354066
0.050000,3.534972,12.874400,2.090070,4.833764,5.379814,-5.169597,0.397834
0.050000,3.767241,12.978153,2.344459,5.087776,5.080251,-5.991255,0.442021
0.050000,4.005341,13.097353,2.610730,5.325421,4.752886,-6.547297,0.485838
0.050000,4.247707,13.232104,2.888037,5.546140,4.414382,-6.770072,0.528469
0.050000,4.492952,13.382163,3.175548,5.750230,4.081816,-6.651331,0.569112
0.050000,4.739949,13.546975,3.472483,5.938704,3.769464,-6.247028,0.607014
0.050000,4.987884,13.725723,3.778134,6.113018,3.486279,-5.663706,0.641493
0.050000,5.236283,13.917371,4.091872,6.274749,3.234631,-5.032960,0.671942
0.050000,5.485008,14.120708,4.413135,6.425269,3.010387,-4.484887,0.697821
0.050000,5.734235,14.334365,4.741408,6.565464,2.803906,-4.129619,0.718633
0.050000,5.983238,14.555743,5.074591,6.663659,1.963908,-16.799963,0.733833
0.050000,6.230521,14.781040,5.409118,6.690527,0.537352,-28.531116,0.742940
0.050000,6.474773,15.006238,5.741341,6.644473,-0.921081,-29.168653,0.745647
0.050000,6.713792,15.226374,6.066288,6.498934,-2.910773,-39.793854,0.741847
0.050000,6.945668,15.436963,6.379520,6.264643,-4.685818,-35.500885,0.731698
0.050000,7.169482,15.634920,6.678317,5.975927,-5.774320,-21.770043,0.715532
0.050000,7.384264,15.817759,6.960383,5.641322,-6.692099,-18.355587,0.693843
0.050000,7.589853,15.984367,7.225005,5.292453,-6.977382,-5.705658,0.667171
0.050000,7.786725,16.134690,7.472706,4.954014,-6.768778,4.172092,0.636016
0.050000,7.975153,16.268920,7.704056,4.626998,-6.540317,4.569211,0.600929
0.050000,8.155268,16.387494,7.919698,4.312838,-6.283212,5.142092,0.562529
0.050000,8.327119,16.491081,8.120354,4.013118,-5.994397,5.776306,0.521510
0.050000,8.490714,16.580551,8.306816,3.729247,-5.677413,6.339692,0.478636
0.050000,8.646056,16.656935,8.479923,3.462133,-5.342277,6.702705,0.434712
0.050000,8.793157,16.721377,8.640519,3.211934,-5.003995,6.765655,0.390554
0.050000,8.932034,16.775074,8.789417,2.977941,-4.679844,6.483015,0.346941
0.050000,9.062706,16.819235,8.927348,2.758635,-4.386135,5.874179,0.304580
0.050000,9.185173,16.855038,9.054942,2.551867,-4.135364,5.015415,0.264076
0.050000,9.299412,16.883605,9.172699,2.355140,-3.934540,4.016490,0.225911
0.050000,9.405368,16.905989,9.280993,2.165892,-3.784943,2.991931,0.190446
0.050000,9.502956,16.923161,9.380080,1.981739,-3.683073,2.037399,0.157927
0.050000,9.592066,16.936009,9.470112,1.800628,-3.622219,1.217086,0.128501
0.050000,9.672573,16.945337,9.551158,1.620922,-3.594106,0.562258,0.102235
0.050000,9.744348,16.951862,9.623228,1.441410,-3.590244,0.077236,0.079138
0.050000,9.807261,16.956219,9.686292,1.261269,-3.602826,-0.251627,0.059181
0.050000,9.861192,16.958957,9.740292,1.080009,-3.625196,-0.447400,0.042310
0.050000,9.906034,16.960544,9.785163,0.897409,-3.652000,-0.536085,0.028461
0.050000,9.941697,16.961364,9.820835,0.713453,-3.679126,-0.542520,0.017567
0.050000,9.968109,16.961723,9.847249,0.528276,-3.703544,-0.488366,0.009572
0.050000,9.985413,16.961843,9.864554,0.346097,-3.643576,1.199370,0.004367
0.050000,9.994945,16.961871,9.874086,0.190638,-3.109171,10.688101,0.001511
0.050000,9.999029,16.961875,9.878169,0.081674,-2.179293,18.597559,0.000290
0.050000,10.000000,16.961875,9.879141,0.019427,-1.244938,18.687090,0.000000
0.050000,10.000000,16.961875,9.879141,0.000000,-0.388538,17.128008,0.000000
