dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.503287,14.538124,0.003125,0.125000,2.500000,50.000000,6.282808
0.050000,1.517484,14.538107,0.017322,0.283946,3.178924,13.578488,6.281173
0.050000,1.545898,14.538004,0.045736,0.568281,5.686693,50.155382,6.277884
0.050000,1.588567,14.537671,0.088406,0.853400,5.702372,0.313580,6.272904
0.050000,1.645547,14.536894,0.145392,1.139712,5.726247,0.477482,6.266175
0.050000,1.716914,14.535375,0.216774,1.427649,5.758736,0.649784,6.257618
0.050000,1.802756,14.532731,0.302658,1.717668,5.800382,0.832922,6.247134
0.050000,1.903179,14.528481,0.403171,2.010259,5.851829,1.028935,6.234598
0.050000,2.018296,14.522037,0.518468,2.305948,5.913777,1.238965,6.219862
0.050000,2.148225,14.512687,0.648733,2.605294,5.986913,1.462729,6.202748
0.050000,2.293078,14.499581,0.794177,2.908883,6.071783,1.697393,6.183052
0.050000,2.452947,14.481709,0.955043,3.217313,6.168594,1.936222,6.160542
0.050000,2.627890,14.457883,1.131600,3.531158,6.276902,2.166148,6.134954
0.050000,2.817896,14.426710,1.324146,3.850915,6.395151,2.364982,6.106006
0.050000,3.022849,14.386575,1.532992,4.176916,6.520009,2.497159,6.073394
0.050000,3.242475,14.335622,1.758451,4.509190,6.645489,2.509606,6.036816
0.050000,3.476274,14.271757,2.000816,4.847284,6.761890,2.328016,5.995992
0.050000,3.723428,14.192665,2.260317,5.190022,6.854744,1.857087,5.950695
0.050000,3.982710,14.095866,2.537078,5.535231,6.904189,0.988903,5.900807
0.050000,4.252380,13.978823,2.831054,5.879508,6.885528,-0.373225,5.846371
0.050000,4.530121,13.839101,3.141959,6.218105,6.771954,-2.271480,5.787659
0.050000,4.813022,13.674591,3.469215,6.545118,6.540250,-4.634078,5.725230
0.050000,5.097667,13.483743,3.811919,6.854073,6.179109,-7.222828,5.659954
0.050000,5.380343,13.265785,4.168866,7.138955,5.697639,-9.629399,5.592993
0.050000,5.657351,13.020839,4.538638,7.395435,5.129604,-11.360693,5.525716
0.050000,5.925353,12.749900,4.919733,7.621897,4.529233,-12.007423,5.459573
0.050000,6.181688,12.454661,5.310724,7.819813,3.958318,-11.418295,5.395943
0.050000,6.424555,12.137253,5.710389,7.993301,3.469756,-9.771236,5.336003
0.050000,6.653058,11.799965,6.117791,8.148058,3.095137,-7.492396,5.280658
0.050000,6.867122,11.445012,6.532297,8.290116,2.841175,-5.079223,5.230520
0.050000,7.067341,11.074395,6.953539,8.424833,2.694335,-2.936805,5.185943
0.050000,7.254810,10.689842,7.381354,8.556299,2.629323,-1.300245,5.147083
