dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.502503,12.461875,0.003125,0.125000,2.500000,50.000000,6.282808
0.050000,1.513305,12.461862,0.013928,0.216054,1.821074,-13.578523,6.281173
0.050000,1.534891,12.461783,0.035514,0.431719,4.313300,49.844514,6.277884
0.050000,1.567220,12.461531,0.067844,0.646599,4.297606,-0.313876,6.272904
0.050000,1.610230,12.460944,0.110858,0.860284,4.273708,-0.477946,6.266175
0.050000,1.663836,12.459804,0.164475,1.072344,4.241187,-0.650425,6.257618
0.050000,1.727921,12.457830,0.228591,1.282319,4.199496,-0.833826,6.247134
0.050000,1.802340,12.454682,0.303077,1.489718,4.147988,-1.030156,6.234598
0.050000,1.886909,12.449948,0.387778,1.694016,4.085957,-1.240617,6.219862
0.050000,1.981397,12.443150,0.482510,1.894651,4.012712,-1.464898,6.202748
0.050000,2.085524,12.433731,0.587062,2.091036,3.927699,-1.700274,6.183052
0.050000,2.198946,12.421055,0.701191,2.282571,3.830700,-1.939964,6.160542
0.050000,2.321252,12.404402,0.824624,2.468679,3.722147,-2.171068,6.134954
0.050000,2.451948,12.382965,0.957067,2.648858,3.603583,-2.371273,6.106006
0.050000,2.590457,12.355848,1.098206,2.822774,3.478327,-2.505134,6.073394
0.050000,2.736111,12.322066,1.247726,2.990392,3.352353,-2.519469,6.036816
0.050000,2.888151,12.280545,1.405334,3.152160,3.235360,-2.339859,5.995992
0.050000,3.045745,12.230126,1.570796,3.309252,3.141833,-1.870551,5.950695
0.050000,3.208003,12.169563,1.743988,3.463835,3.091676,-1.003140,5.900807
0.050000,3.374012,12.097525,1.924954,3.619319,3.109676,0.360010,5.846371
0.050000,3.542876,12.012586,2.113977,3.780458,3.222776,2.262000,5.787659
0.050000,3.713746,11.913226,2.311636,3.953176,3.454369,4.631850,5.725230
0.050000,3.885839,11.797834,2.518834,4.143973,3.815930,7.231233,5.659954
0.050000,4.058425,11.664739,2.736779,4.358895,4.298447,9.650329,5.592993
0.050000,4.230791,11.512283,2.966894,4.602300,4.868105,11.393156,5.525716
0.050000,4.402205,11.338930,3.210685,4.875823,5.470460,12.047107,5.459573
0.050000,4.571902,11.143400,3.469585,5.177993,6.043396,11.458710,5.395943
