dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.501762,14.538125,0.001533,0.061335,1.226694,24.533879,6.282860
0.050000,1.509348,14.538117,0.009120,0.151726,1.807834,11.622799,6.281461
0.050000,1.526423,14.538061,0.026195,0.341499,3.795458,39.752488,6.278307
0.050000,1.556797,14.537827,0.056570,0.607497,5.319959,30.490010,6.272680
0.050000,1.602400,14.537155,0.102177,0.912153,6.093112,15.463056,6.264197
0.050000,1.663273,14.535652,0.163069,1.217832,6.113589,0.409542,6.252807
0.050000,1.739457,14.532790,0.239307,1.524762,6.138589,0.499998,6.238450
0.050000,1.830979,14.527896,0.330960,1.833053,6.165836,0.544943,6.221061
0.050000,1.937832,14.520152,0.438093,2.142660,6.192131,0.525899,6.200575
0.050000,2.059951,14.508588,0.560758,2.453318,6.213161,0.420614,6.176943
0.050000,2.197188,14.492091,0.698983,2.764486,6.223357,0.203911,6.150139
0.050000,2.349270,14.469415,0.852747,3.075279,6.215856,-0.150011,6.120181
0.050000,2.515771,14.439199,1.021967,3.384414,6.182704,-0.663051,6.087148
0.050000,2.696071,14.400011,1.206477,3.690183,6.115385,-1.346375,6.051203
0.050000,2.889327,14.350394,1.406000,3.990473,6.005805,-2.191603,6.012608
0.050000,3.094463,14.288940,1.620143,4.282858,5.847698,-3.162131,5.971746
0.050000,3.310175,14.214367,1.848382,4.564773,5.638293,-4.188100,5.929119
0.050000,3.534972,14.125600,2.090070,4.833764,5.379814,-5.169597,5.885351
0.050000,3.767241,14.021847,2.344459,5.087776,5.080251,-5.991255,5.841164
0.050000,4.005341,13.902647,2.610730,5.325421,4.752886,-6.547297,5.797347
0.050000,4.247707,13.767896,2.888037,5.546140,4.414382,-6.770072,5.754716
0.050000,4.492952,13.617837,3.175548,5.750230,4.081816,-6.651331,5.714073
0.050000,4.739949,13.453025,3.472483,5.938704,3.769464,-6.247028,5.676171
0.050000,4.987884,13.274277,3.778134,6.113018,3.486279,-5.663706,5.641692
0.050000,5.236283,13.082629,4.091872,6.274749,3.234631,-5.032960,5.611243
0.050000,5.485008,12.879292,4.413135,6.425269,3.010387,-4.484887,5.585364
0.050000,5.734235,12.665635,4.741408,6.565464,2.803906,-4.129619,5.564552
0.050000,5.983238,12.444257,5.074591,6.663659,1.963908,-16.799963,5.549352
0.050000,6.230521,12.218960,5.409118,6.690527,0.537352,-28.531116,5.540246
0.050000,6.474773,11.993762,5.741341,6.644473,-0.921081,-29.168653,5.537538
0.050000,6.713792,11.773626,6.066288,6.498934,-2.910773,-39.793854,5.541338
0.050000,6.945668,11.563037,6.379520,6.264643,-4.685818,-35.500885,5.551488
0.050000,7.169482,11.365080,6.678317,5.975927,-5.774320,-21.770043,5.567653
0.050000,7.384264,11.182241,6.960383,5.641322,-6.692099,-18.355587,5.589342
0.050000,7.589853,11.015633,7.225005,5.292453,-6.977382,-5.705658,5.616015
0.050000,7.786725,10.865310,7.472706,4.954014,-6.768778,4.172092,5.647170
0.050000,7.975153,10.731080,7.704056,4.626998,-6.540317,4.569211,5.682256
0.050000,8.155268,10.612506,7.919698,4.312838,-6.283212,5.142092,5.720657
0.050000,8.327119,10.508919,8.120354,4.013118,-5.994397,5.776306,5.761675
0.050000,8.490714,10.419449,8.306816,3.729247,-5.677413,6.339692,5.804550
0.050000,8.646056,10.343065,8.479923,3.462133,-5.342277,6.702705,5.848473
0.050000,8.793157,10.278623,8.640519,3.211934,-5.003995,6.765655,5.892631
0.050000,8.932034,10.224926,8.789417,2.977941,-4.679844,6.483015,5.936244
0.050000,9.062706,10.180765,8.927348,2.758635,-4.386135,5.874179,5.978605
0.050000,9.185173,10.144962,9.054942,2.551867,-4.135364,5.015415,6.019110
0.050000,9.299412,10.116395,9.172699,2.355140,-3.934540,4.016490,6.057274
0.050000,9.405368,10.094011,9.280993,2.165892,-3.784943,2.991931,6.092739
0.050000,9.502956,10.076839,9.380080,1.981739,-3.683073,2.037399,6.125258
0.050000,9.592066,10.063991,9.470112,1.800628,-3.622219,1.217086,6.154684
0.050000,9.672573,10.054663,9.551158,1.620922,-3.594106,0.562258,6.180951
0.050000,9.744348,10.048138,9.623228,1.441410,-3.590244,0.077236,6.204047
0.050000,9.807261,10.043781,9.686292,1.261269,-3.602826,-0.251627,6.224004
0.050000,9.861192,10.041043,9.740292,1.080009,-3.625196,-0.447400,6.240875
0.050000,9.906034,10.039456,9.785163,0.897409,-3.652000,-0.536085,6.254725
0.050000,9.941697,10.038636,9.820835,0.713453,-3.679126,-0.542520,6.265618
0.050000,9.968109,10.038277,9.847249,0.528276,-3.703544,-0.488366,6.273614
0.050000,9.985413,10.038157,9.864554,0.346097,-3.643576,1.199370,6.278819
0.050000,9.994945,10.038129,9.874086,0.190638,-3.109171,10.688101,6.281674
0.050000,9.999029,10.038125,9.878169,0.081674,-2.179293,18.597559,6.282895
0.050000,10.000000,10.038125,9.879141,0.019427,-1.244938,18.687090,6.283185
0.050000,10.000000,10.038125,9.879141,0.000000,-0.388538,17.128008,6.283185
