dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.501087,12.461875,0.001533,0.061335,1.226694,24.533879,6.282860
0.050000,1.505768,12.461870,0.006214,0.093612,0.645554,-11.622805,6.281461
0.050000,1.516294,12.461835,0.016740,0.210513,2.338007,33.849069,6.278307
0.050000,1.534986,12.461692,0.035432,0.373857,3.266877,18.577405,6.272680
0.050000,1.562977,12.461279,0.063426,0.559875,3.720378,9.070006,6.264197
0.050000,1.600209,12.460360,0.100670,0.744867,3.699839,-0.410776,6.252807
0.050000,1.646606,12.458617,0.147100,0.928605,3.674754,-0.501703,6.238450
0.050000,1.702076,12.455652,0.202649,1.110975,3.647395,-0.547169,6.221061
0.050000,1.766508,12.450982,0.267250,1.292023,3.620962,-0.528674,6.200575
0.050000,1.839781,12.444045,0.340850,1.472011,3.599764,-0.423947,6.176943
0.050000,1.921765,12.434190,0.423424,1.651480,3.589377,-0.207735,6.150139
0.050000,2.012329,12.420687,0.514990,1.831313,3.596669,0.145831,6.120181
0.050000,2.111351,12.402717,0.615630,2.012794,3.629609,0.658805,6.087148
0.050000,2.218726,12.379378,0.725511,2.197631,3.696734,1.342493,6.051203
0.050000,2.334371,12.349685,0.844908,2.387939,3.806168,2.188682,6.012608
0.050000,2.458239,12.312572,0.974216,2.586150,3.964212,3.160871,5.971746
0.050000,2.590308,12.266906,1.113957,2.794833,4.173671,4.189198,5.929119
0.050000,2.730585,12.211501,1.264780,3.016451,4.432349,5.173560,5.885351
0.050000,2.879089,12.145147,1.427433,3.253064,4.732261,5.998228,5.841164
0.050000,3.035836,12.066652,1.602736,3.506069,5.060107,6.556920,5.797347
0.050000,3.200837,11.974888,1.791538,3.776028,5.399181,6.781482,5.754716
0.050000,3.374094,11.868846,1.994670,4.062645,5.732347,6.663315,5.714073
0.050000,3.555619,11.747687,2.212916,4.364908,6.045261,6.258277,5.676171
0.050000,3.745472,11.610779,2.446983,4.681354,6.328914,5.673072,5.641692
0.050000,3.943803,11.457727,2.697503,5.010399,6.580895,5.039611,5.611243
0.050000,4.150914,11.288378,2.965036,5.350664,6.805311,4.488327,5.585364
0.050000,4.367322,11.102829,3.250099,5.701254,7.011789,4.129563,5.564552
0.050000,4.592730,10.902407,3.551724,6.032501,6.624932,-7.737143,5.549352
0.050000,4.826030,10.689836,3.867343,6.312384,5.597662,-20.545393,5.540246
0.050000,5.066147,10.468447,4.193946,6.532051,4.393347,-24.086313,5.537538
0.050000,5.310972,10.242969,4.526782,6.656722,2.493429,-37.998349,5.541338
0.050000,5.558456,10.018221,4.861087,6.686098,0.587517,-38.118248,5.551488
0.050000,5.807423,9.798042,5.193447,6.647196,-0.778052,-27.311383,5.567653
0.050000,6.056509,9.586033,5.520543,6.541925,-2.105417,-26.547298,5.589342
0.050000,6.305140,9.384582,5.840543,6.400009,-2.838325,-14.658151,5.616015
0.050000,6.553443,9.195032,6.152927,6.247664,-3.046902,-4.171545,5.647170
0.050000,6.801223,9.018567,6.457122,6.083905,-3.275162,-4.565210,5.682256
0.050000,7.047948,8.856187,6.752487,5.907310,-3.531910,-5.134947,5.720657
0.050000,7.292752,8.708670,7.038302,5.716298,-3.820238,-5.766564,5.761675
0.050000,7.534458,8.576520,7.313776,5.509466,-4.136650,-6.328240,5.804550
0.050000,7.771645,8.459924,7.578071,5.285906,-4.471187,-6.690734,5.848473
0.050000,8.002727,8.358718,7.830344,5.045461,-4.808910,-6.754475,5.892631
0.050000,8.226063,8.272384,8.069785,4.788831,-5.132600,-6.473796,5.936244
0.050000,8.440054,8.200079,8.295662,4.517531,-5.425985,-5.867704,5.978605
0.050000,8.643236,8.140687,8.507347,4.233702,-5.676583,-5.011955,6.019110
0.050000,8.834344,8.092902,8.704339,3.939833,-5.877375,-4.015830,6.057274
0.050000,9.012340,8.055300,8.886263,3.638481,-6.027051,-2.993518,6.092739
0.050000,9.176420,8.026427,9.052864,3.332027,-6.129077,-2.040526,6.125258
0.050000,9.325999,8.004859,9.203990,3.022521,-6.190130,-1.221065,6.154684
0.050000,9.460678,7.989254,9.339570,2.711598,-6.218456,-0.566513,6.180951
0.050000,9.580209,7.978386,9.459594,2.400472,-6.222524,-0.081369,6.204047
0.050000,9.684457,7.971166,9.564092,2.089965,-6.210130,0.247876,6.224004
0.050000,9.773371,7.966651,9.653120,1.780569,-6.187922,0.444166,6.240875
0.050000,9.846951,7.964047,9.726746,1.472506,-6.161252,0.533401,6.254725
0.050000,9.905225,7.962706,9.785035,1.165795,-6.134233,0.540387,6.265618
0.050000,9.948236,7.962122,9.828050,0.860300,-6.109896,0.486743,6.273614
0.050000,9.976347,7.961927,9.856162,0.562236,-5.961289,2.972128,6.278819
0.050000,9.991808,7.961881,9.871623,0.309215,-5.060404,18.017712,6.281674
0.050000,9.998426,7.961875,9.878241,0.132370,-3.536908,30.469919,6.282895
0.050000,10.000000,7.961875,9.879815,0.031476,-2.017877,30.380615,6.283185
0.050000,10.000000,7.961875,9.879815,0.000000,-0.629523,27.767073,6.283185
