dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.502745,4.538125,0.003125,0.125000,2.500000,50.000000,0.000298
0.050000,1.513977,4.538136,0.014356,0.224623,1.992454,-10.150923,0.001520
0.050000,1.536417,4.538197,0.036797,0.448821,4.483964,49.830211,0.003985
0.050000,1.570025,4.538394,0.070405,0.672156,4.466694,-0.345401,0.007734
0.050000,1.614730,4.538853,0.115113,0.894158,4.440044,-0.532998,0.012832
0.050000,1.670439,4.539749,0.170828,1.114311,4.403072,-0.739441,0.019367
0.050000,1.737022,4.541307,0.237430,1.332033,4.354438,-0.972697,0.027457
0.050000,1.814314,4.543805,0.314763,1.546649,4.292322,-1.242313,0.037251
0.050000,1.902101,4.547586,0.402631,1.757366,4.214323,-1.559978,0.048936
0.050000,2.000110,4.553058,0.500792,1.963231,4.117315,-1.940152,0.062747
0.050000,2.107994,4.560706,0.608947,2.163095,3.997277,-2.400771,0.078973
0.050000,2.225312,4.571098,0.726725,2.355549,3.849085,-2.963833,0.097969
0.050000,2.351503,4.584896,0.853668,2.538865,3.666305,-3.655599,0.120177
0.050000,2.485853,4.602864,0.989214,2.710916,3.441025,-4.505600,0.146137
0.050000,2.627452,4.625870,1.132669,2.869110,3.163882,-5.542858,0.176518
0.050000,2.775146,4.654884,1.283186,3.010339,2.824582,-6.786002,0.212135
0.050000,2.927480,4.690973,1.439737,3.131016,2.413536,-8.220924,0.253978
0.050000,3.082648,4.735262,1.601102,3.227306,1.925798,-9.754757,0.303219
0.050000,3.238465,4.788894,1.765891,3.295772,1.369312,-11.129730,0.361197
0.050000,3.392403,4.852964,1.932630,3.334780,0.780162,-11.782985,0.429328
0.050000,3.541754,4.928476,2.099985,3.347098,0.246368,-10.675884,0.508896
0.050000,3.683960,5.016397,2.267175,3.343805,-0.065866,-6.244677,0.600649
0.050000,3.817080,5.117922,2.434591,3.348330,0.090495,3.127214,0.704209
0.050000,3.940142,5.234981,2.604436,3.396892,0.971243,17.614965,0.817456
0.050000,4.052989,5.370699,2.780941,3.530093,2.664030,33.855736,0.936315
0.050000,4.155480,5.529226,2.969713,3.775448,4.907101,44.861415,1.055392
0.050000,4.246622,5.714637,3.176314,4.132024,7.131525,44.488486,1.169334
0.050000,4.324410,5.929554,3.404876,4.571227,8.784041,33.050321,1.274171
0.050000,4.386439,6.174463,3.657518,5.052857,9.632602,16.971221,1.367864
0.050000,4.430667,6.448008,3.934616,5.541946,9.781783,2.983609,1.450056
0.050000,4.455825,6.747766,4.235427,6.016231,9.485700,-5.921656,1.521458
0.050000,4.461875,7.083858,4.571574,6.722939,14.134164,92.969286,1.570796
0.050000,4.461875,7.483858,4.971574,8.000000,25.541220,228.141122,1.570796
0.050000,4.461875,7.896358,5.384074,8.250000,5.000000,-410.824405,1.570796
0.050000,4.461875,8.321358,5.809074,8.500000,5.000000,-0.000000,1.570796
0.050000,4.461875,8.758858,6.246574,8.750000,5.000000,-0.000000,1.570796
