dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.503363,2.461876,0.003125,0.125000,2.500000,50.000000,0.000298
0.050000,1.517132,2.461888,0.016894,0.275377,3.007546,10.150911,0.001520
0.050000,1.544691,2.461964,0.044453,0.551179,5.516031,50.169712,0.003985
0.050000,1.586083,2.462206,0.085845,0.827843,5.533293,0.345240,0.007734
0.050000,1.641372,2.462774,0.141137,1.105840,5.559930,0.532733,0.012832
0.050000,1.710647,2.463889,0.210421,1.385684,5.596882,0.739042,0.019367
0.050000,1.794022,2.465839,0.293819,1.667958,5.645488,0.972117,0.027457
0.050000,1.891638,2.468996,0.391486,1.953337,5.707562,1.241484,0.037251
0.050000,2.003664,2.473822,0.503617,2.242612,5.785502,1.558792,0.048936
0.050000,2.130304,2.480894,0.630453,2.536733,5.882425,1.938460,0.062747
0.050000,2.271791,2.490927,0.772296,2.836850,6.002342,2.398340,0.078973
0.050000,2.428396,2.504804,0.929514,3.144368,6.150358,2.960326,0.097969
0.050000,2.600420,2.523621,1.102565,3.461012,6.332883,3.650504,0.120177
0.050000,2.788192,2.548745,1.292010,3.788901,6.557790,4.498145,0.146137
0.050000,2.992047,2.581882,1.498541,4.130621,6.834384,5.531885,0.176518
0.050000,3.212296,2.625176,1.723004,4.489264,7.172874,6.769787,0.212135
0.050000,3.449151,2.681327,1.966424,4.868400,7.582722,8.196953,0.253978
0.050000,3.702604,2.753730,2.230016,5.271835,8.068700,9.719568,0.303219
0.050000,3.972200,2.846615,2.515164,5.702968,8.622653,11.079057,0.361197
0.050000,4.256663,2.965143,2.823333,6.163383,9.208298,11.712907,0.429328
0.050000,4.553330,3.115322,3.155847,6.650264,9.737612,10.586284,0.508896
0.050000,4.857410,3.303555,3.513472,7.152510,10.044936,6.146470,0.600649
0.050000,5.161309,3.535562,3.895810,7.646751,9.884809,-3.202532,0.704209
0.050000,5.454575,3.814661,4.300657,8.096956,9.004099,-17.614212,0.817456
0.050000,5.725158,4.139983,4.723799,8.462834,7.317558,-33.730821,0.936315
0.050000,5.962011,4.505869,5.159657,8.717159,5.086497,-44.621219,1.055392
0.050000,6.157791,4.903312,5.602704,8.860938,2.875598,-44.217975,1.169334
0.050000,6.309987,5.322678,6.048833,8.922590,1.233039,-32.851185,1.274171
0.050000,6.420084,5.756012,6.495935,8.942024,0.388680,-16.887180,1.367864
0.050000,6.491801,6.197929,6.943633,8.953975,0.239022,-2.993148,1.450056
0.050000,6.529548,6.645369,7.392663,8.980585,0.532199,5.863536,1.521458
0.050000,6.538125,7.083858,7.831236,8.771472,-4.182276,-94.289509,1.570796
0.050000,6.538125,7.483858,8.231236,8.000000,-15.429432,-224.943104,1.570796
0.050000,6.538125,7.896358,8.643736,8.250000,5.000000,408.588632,1.570796
