dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.503172,4.538125,0.003125,0.125000,2.500000,50.000000,6.283018
0.050000,1.516398,4.538118,0.016350,0.264509,2.790182,5.803636,6.282319
0.050000,1.542845,4.538077,0.042798,0.528943,5.288678,49.969925,6.280925
0.050000,1.582506,4.537946,0.082459,0.793226,5.285658,-0.060409,6.278843
0.050000,1.635369,4.537643,0.135323,1.057281,5.281095,-0.091248,6.276084
0.050000,1.701418,4.537061,0.201374,1.321028,5.274954,-0.122820,6.272663
0.050000,1.780631,4.536066,0.280594,1.584388,5.267188,-0.155317,6.268598
0.050000,1.872982,4.534502,0.372957,1.847275,5.257744,-0.188894,6.263913
0.050000,1.978437,4.532190,0.478438,2.109603,5.246561,-0.223650,6.258634
0.050000,2.096956,4.528932,0.597002,2.371282,5.233579,-0.259633,6.252793
0.050000,2.228493,4.524513,0.728613,2.632219,5.218739,-0.296819,6.246424
0.050000,2.372992,4.518701,0.873229,2.892318,5.201982,-0.335123,6.239569
0.050000,2.530390,4.511254,1.030803,3.151481,5.183263,-0.374391,6.232273
0.050000,2.700614,4.501920,1.201283,3.409608,5.162543,-0.414404,6.224585
0.050000,2.883585,4.490445,1.384613,3.666598,5.139798,-0.454887,6.216561
0.050000,3.079211,4.476572,1.580730,3.922349,5.115022,-0.495520,6.208259
0.050000,3.287394,4.460047,1.789568,4.176761,5.088225,-0.535953,6.199745
0.050000,3.508028,4.440625,2.011055,4.429732,5.059433,-0.575831,6.191088
0.050000,3.740997,4.418074,2.245113,4.681167,5.028693,-0.614809,6.182362
0.050000,3.986182,4.392180,2.491662,4.930970,4.996063,-0.652586,6.173645
0.050000,4.243457,4.362749,2.750614,5.179051,4.961617,-0.688926,6.165020
0.050000,4.512692,4.329619,3.021881,5.425323,4.925433,-0.723687,6.156575
0.050000,4.793757,4.292658,3.305366,5.669702,4.887591,-0.756838,6.148401
0.050000,5.086522,4.251774,3.600971,5.912110,4.848167,-0.788484,6.140592
0.050000,5.390858,4.206919,3.908595,6.152472,4.807223,-0.818866,6.133248
0.050000,5.706641,4.158095,4.228130,6.390712,4.764805,-0.848371,6.126470
0.050000,6.033755,4.105357,4.559468,6.626758,4.720929,-0.877518,6.120365
0.050000,6.372091,4.048822,4.902495,6.860537,4.675582,-0.906939,6.115040
0.050000,6.721551,3.988673,5.257094,7.091973,4.628715,-0.937347,6.110610
0.050000,7.082049,3.925163,5.623143,7.320985,4.580240,-0.969487,6.107191
0.050000,7.453511,3.858626,6.000517,7.547487,4.530037,-1.004073,6.104904
0.050000,7.835878,3.789478,6.389087,7.771384,4.477952,-1.041701,6.103874
0.050000,8.229104,3.718226,6.788715,7.992575,4.423815,-1.082740,6.104232
0.050000,8.633154,3.645477,7.199263,8.210948,4.367455,-1.127193,6.106113
0.050000,9.048006,3.571940,7.620582,8.426384,4.308730,-1.174506,6.109658
0.050000,9.473645,3.498440,8.052520,8.638763,4.247562,-1.223342,6.115015
0.050000,9.907033,3.426413,8.491853,8.786650,2.957756,-25.796125,6.122280
0.050000,10.342149,3.357761,8.932351,8.809977,0.466529,-49.824537,6.131430
0.050000,10.776039,3.293775,9.370934,8.771645,-0.766632,-24.663218,6.142427
0.050000,11.208759,3.235223,9.807598,8.733285,-0.767205,-0.011475,6.155270
0.050000,11.640344,3.182863,10.242347,8.694985,-0.765991,0.024282,6.169957
0.050000,12.070798,3.137443,10.675191,8.656879,-0.762120,0.077421,6.186478
0.050000,12.500100,3.099698,11.106149,8.619148,-0.754620,0.149996,6.204815
0.050000,12.928196,3.070344,11.535250,8.582026,-0.742447,0.243466,6.224940
0.050000,13.355005,3.050071,11.962540,8.545800,-0.724528,0.358377,6.246807
0.050000,13.780415,3.039541,12.388080,8.510808,-0.699827,0.494021,6.270359
0.050000,14.195870,3.040094,12.803536,8.309118,-4.033807,-66.679607,0.020325
0.050000,14.597401,3.057339,13.205438,8.038026,-5.421835,-27.760557,0.066623
0.050000,14.990970,3.093775,13.600689,7.905030,-2.659926,55.238195,0.119317
0.050000,15.374191,3.151152,13.988181,7.749843,-3.103729,-8.876061,0.179473
0.050000,15.744213,3.231155,14.366754,7.571452,-3.567828,-9.281996,0.248205
0.050000,16.097799,3.335266,14.735349,7.371896,-3.991118,-8.465802,0.326530
0.050000,16.431551,3.464611,15.093287,7.158772,-4.262488,-5.427384,0.415098
0.050000,16.742311,3.619894,15.440684,6.947944,-4.216556,0.918634,0.513797
0.050000,17.027666,3.801471,15.778912,6.764554,-3.667809,10.974947,0.621307
0.050000,17.286291,4.009587,16.110874,6.639245,-2.506174,23.232689,0.734838
0.050000,17.517878,4.244545,16.440780,6.598123,-0.822440,33.674677,0.850344
0.050000,17.722663,4.506544,16.773316,6.650719,1.051934,37.487485,0.963324
0.050000,17.900942,4.795170,17.112563,6.784930,2.684202,32.645359,1.069855
0.050000,18.052959,5.108955,17.461232,6.973384,3.769082,21.697601,1.167331
0.050000,18.179104,5.445367,17.820517,7.185693,4.246191,9.542186,1.254605
0.050000,18.280132,5.801193,18.190407,7.397798,4.242093,-0.081974,1.331685
0.050000,18.357221,6.173035,18.570156,7.594983,3.943704,-5.967767,1.399286
0.050000,18.411887,6.557695,18.958681,7.770503,3.510396,-8.666170,1.458449
0.050000,18.445829,6.952379,19.354822,7.922820,3.046350,-9.280909,1.510287
0.050000,18.460799,7.354761,19.757482,8.053196,2.607510,-8.776811,1.555856
0.050000,18.461875,7.789140,20.191862,8.687611,12.688312,201.616044,1.570796
0.050000,18.461875,8.239140,20.641862,9.000000,6.247770,-128.810829,1.570796
0.050000,18.461875,8.689140,21.091862,9.000000,0.000000,-124.955409,1.570796
0.050000,18.461875,9.139140,21.541862,9.000000,-0.000000,-0.000000,1.570796
0.050000,18.461875,9.589140,21.991862,9.000000,-0.000000,0.000000,1.570796
0.050000,18.461875,10.039140,22.441862,9.000000,0.000000,0.000000,1.570796
0.050000,18.461875,10.489140,22.891862,9.000000,0.000000,-0.000000,1.570796
0.050000,18.461875,10.939140,23.341862,9.000000,-0.000000,-0.000000,1.570796
0.050000,18.461875,11.389140,23.791862,9.000000,0.000000,0.000000,1.570796
0.050000,18.461875,11.839140,24.241862,9.000000,0.000000,-0.000000,1.570796
0.050000,18.461875,12.289140,24.691862,9.000000,-0.000000,-0.000000,1.570796
0.050000,18.461875,12.739140,25.141862,9.000000,0.000000,0.000000,1.570796
0.050000,18.461875,13.189140,25.591862,9.000000,0.000000,0.000000,1.570796
0.050000,18.461875,13.639140,26.041862,9.000000,0.000000,-0.000000,1.570796
0.050000,18.461875,14.089140,26.491862,9.000000,-0.000000,-0.000000,1.570796
0.050000,18.461875,14.539140,26.941862,9.000000,0.000000,0.000000,1.570796
0.050000,18.461875,14.989140,27.391862,9.000000,0.000000,-0.000000,1.570796
0.050000,18.461875,15.439140,27.841862,9.000000,0.000000,0.000000,1.570796
0.050000,18.461875,15.889140,28.291862,9.000000,0.000000,0.000000,1.570796
0.050000,18.461875,16.339140,28.741862,9.000000,0.000000,0.000000,1.570796
0.050000,18.461875,16.789140,29.191862,9.000000,-0.000000,-0.000000,1.570796
0.050000,18.461875,17.239140,29.641862,9.000000,0.000000,0.000000,1.570796
0.050000,18.461875,17.689140,30.091862,9.000000,0.000000,0.000000,1.570796
0.050000,18.461044,18.125585,30.528308,8.728911,-5.421780,-108.435596,1.583761
0.050000,18.448359,18.541538,30.944455,8.322941,-8.119402,-53.952443,1.616353
0.050000,18.424086,18.970071,31.373675,8.584403,5.229250,266.973039,1.636363
0.050000,18.392854,19.409738,31.814449,8.815480,4.621537,-12.154253,1.645248
0.050000,18.359229,19.860149,32.266114,9.033289,4.356184,-5.307073,1.643645
0.050000,18.327963,20.321760,32.728783,9.253379,4.401799,0.912301,1.631438
0.050000,18.304358,20.795750,33.203360,9.491557,4.763558,7.235178,1.607752
