dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.502824,2.461875,0.003125,0.125000,2.500000,50.000000,6.283018
0.050000,1.514599,2.461869,0.014900,0.235491,2.209818,-5.803640,6.282319
0.050000,1.538151,2.461832,0.038452,0.471057,4.711321,50.030051,6.280925
0.050000,1.573490,2.461715,0.073791,0.706774,4.714339,0.060361,6.278843
0.050000,1.620625,2.461445,0.120927,0.942719,4.718898,0.091179,6.276084
0.050000,1.679571,2.460926,0.179876,1.178970,4.725034,0.122731,6.272663
0.050000,1.750346,2.460037,0.250656,1.415610,4.732795,0.155213,6.268598
0.050000,1.832970,2.458637,0.333292,1.652722,4.742234,0.188777,6.263913
0.050000,1.927467,2.456566,0.427812,1.890392,4.753410,0.223528,6.258634
0.050000,2.033863,2.453641,0.534247,2.128712,4.766385,0.259508,6.252793
0.050000,2.152185,2.449666,0.652636,2.367773,4.781220,0.296700,6.246424
0.050000,2.282463,2.444425,0.783020,2.607671,4.797971,0.335016,6.239569
0.050000,2.424729,2.437694,0.925445,2.848506,4.816686,0.374303,6.232273
0.050000,2.579016,2.429234,1.079964,3.090376,4.837403,0.414341,6.224585
0.050000,2.745358,2.418802,1.246633,3.333383,4.860146,0.454856,6.216561
0.050000,2.923792,2.406147,1.425514,3.577629,4.884923,0.495527,6.208259
0.050000,3.114353,2.391020,1.616675,3.823215,4.911723,0.536005,6.199745
0.050000,3.317081,2.373174,1.820187,4.070241,4.940519,0.575929,6.191088
0.050000,3.532017,2.352368,2.036127,4.318805,4.971267,0.614956,6.182362
0.050000,3.759203,2.328374,2.264577,4.569000,5.003906,0.652782,6.173645
0.050000,3.998687,2.300977,2.505623,4.820918,5.038365,0.689168,6.165020
0.050000,4.250520,2.269988,2.759355,5.074646,5.074563,0.723969,6.156575
0.050000,4.514758,2.235239,3.025869,5.330267,5.112421,0.757152,6.148401
0.050000,4.791466,2.196596,3.305262,5.587860,5.151862,0.788817,6.140592
0.050000,5.080716,2.153964,3.597637,5.847501,5.192822,0.819202,6.133248
0.050000,5.382592,2.107289,3.903100,6.109264,5.235256,0.848689,6.126470
0.050000,5.697191,2.056568,4.221761,6.373222,5.279146,0.877794,6.120365
0.050000,6.024623,2.001854,4.553734,6.639447,5.324503,0.907144,6.115040
0.050000,6.365018,1.943264,4.899134,6.908015,5.371375,0.937447,6.110610
0.050000,6.718525,1.880985,5.258085,7.179008,5.419847,0.969442,6.107191
0.050000,7.085312,1.815285,5.630710,7.452510,5.470039,1.003836,6.104904
0.050000,7.465575,1.746517,6.017141,7.728615,5.522100,1.041217,6.103874
0.050000,7.859531,1.675133,6.417512,8.007425,5.576197,1.081946,6.104232
0.050000,8.267425,1.601692,6.831965,8.289050,5.632498,1.126014,6.106113
0.050000,8.689525,1.526872,7.260645,8.573607,5.691141,1.172856,6.109658
0.050000,9.126125,1.451481,7.703706,8.861216,5.752197,1.221121,6.115015
0.050000,9.574392,1.376982,8.158121,9.088310,4.541876,-24.206418,6.122280
0.050000,10.028276,1.305373,8.617619,9.189960,2.033001,-50.177509,6.131430
0.050000,10.484753,1.238060,9.079033,9.228264,0.766074,-25.338537,6.142427
0.050000,10.943898,1.175936,9.542362,9.266591,0.766545,0.009421,6.155270
0.050000,11.405755,1.119908,10.007605,9.304853,0.765230,-0.026302,6.169957
0.050000,11.870323,1.070894,10.474751,9.342916,0.761261,-0.079367,6.186478
0.050000,12.337551,1.029821,10.943781,9.380599,0.753671,-0.151816,6.204815
0.050000,12.807331,0.997615,11.414664,9.417670,0.741416,-0.245091,6.224940
0.050000,13.279492,0.975195,11.887356,9.453842,0.723430,-0.359726,6.246807
0.050000,13.753785,0.963462,12.361795,9.488776,0.698680,-0.495003,6.270359
0.050000,14.238067,0.964272,12.846078,9.685657,3.937623,64.778861,0.020325
0.050000,14.735625,0.985696,13.344096,9.960367,5.494205,31.131638,0.066623
