dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.501130,4.538125,0.001563,0.062500,1.250000,25.000000,0.000097
0.050000,1.506868,4.538127,0.007301,0.114764,1.045281,-4.094384,0.000590
0.050000,1.519775,4.538142,0.020208,0.258139,2.867490,36.444188,0.001703
0.050000,1.542706,4.538204,0.043139,0.458636,4.009943,22.849060,0.003695
0.050000,1.577070,4.538382,0.077503,0.687279,4.572872,11.258580,0.006716
0.050000,1.622823,4.538783,0.123258,0.915090,4.556211,-0.333229,0.010806
0.050000,1.679905,4.539548,0.180345,1.141748,4.533168,-0.460860,0.016019
0.050000,1.748237,4.540861,0.248690,1.366897,4.502969,-0.603975,0.022430
0.050000,1.827716,4.542948,0.328196,1.590126,4.464580,-0.767780,0.030130
0.050000,1.918209,4.546085,0.418744,1.810957,4.416626,-0.959071,0.039235
0.050000,2.019550,4.550600,0.520185,2.028823,4.357325,-1.186029,0.049887
0.050000,2.131526,4.556879,0.632338,2.243042,4.284368,-1.459143,0.062262
0.050000,2.253871,4.565377,0.754977,2.452781,4.194789,-1.791572,0.076577
0.050000,2.386245,4.576622,0.887828,2.657020,4.084773,-2.200324,0.093094
0.050000,2.528220,4.591226,1.030552,2.854492,3.949441,-2.706640,0.112141
0.050000,2.679252,4.609894,1.182733,3.043621,3.782583,-3.337172,0.134119
0.050000,2.838645,4.633434,1.343855,3.222440,3.576390,-4.123859,0.159524
0.050000,3.005512,4.662765,1.513280,3.388504,3.321262,-5.102543,0.188971
0.050000,3.178719,4.698917,1.690220,3.538799,3.005917,-6.306908,0.223216
0.050000,3.356823,4.743030,1.873706,3.669712,2.618242,-7.753501,0.263194
0.050000,3.538003,4.796325,2.062561,3.777106,2.147899,-9.406863,0.310036
0.050000,3.720000,4.860068,2.255398,3.856733,1.592535,-11.107273,0.365077
0.050000,3.900105,4.935498,2.450661,3.905267,0.970673,-12.437242,0.429811
0.050000,4.075249,5.023759,2.646787,3.922516,0.344988,-12.513706,0.505743
0.050000,4.242266,5.125884,2.842553,3.915310,-0.144132,-9.782392,0.594048
0.050000,4.398378,5.242963,3.037690,3.902740,-0.251389,-2.145140,0.694980
0.050000,4.541739,5.376608,3.233683,3.919872,0.342645,11.880680,0.807108
0.050000,4.671616,5.529584,3.434356,4.013460,1.871759,30.582280,0.926754
0.050000,4.787820,5.705981,3.645589,4.224649,4.223764,47.040105,1.048258
0.050000,4.889696,5.910308,3.873905,4.566330,6.833618,52.197067,1.165347
0.050000,4.975644,6.145868,4.124654,5.014985,8.973118,42.790013,1.272878
0.050000,5.043609,6.413653,4.400930,5.525519,10.210670,24.751036,1.367876
0.050000,5.091960,6.712469,4.703633,6.054054,10.570699,7.200579,1.449478
0.050000,5.120009,7.039824,5.032187,6.571080,10.340531,-4.603371,1.518238
0.050000,5.128042,7.392852,5.385307,7.062396,9.826306,-10.284493,1.575392
0.050000,5.117096,7.768913,5.761527,7.524405,9.240195,-11.722220,1.622347
0.050000,5.088818,8.164427,6.158050,7.930459,8.121077,-22.382359,1.660291
0.050000,5.045497,8.574817,6.570721,8.253409,6.459000,-33.241530,1.690214
0.050000,4.989835,8.995905,6.995471,8.495014,4.832100,-32.538013,1.713022
