dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.501331,2.461875,0.001563,0.062500,1.250000,25.000000,0.000097
0.050000,1.508093,2.461877,0.008324,0.135236,1.454719,4.094388,0.000590
0.050000,1.523311,2.461895,0.023542,0.304361,3.382508,38.555772,0.001703
0.050000,1.550379,2.461968,0.050611,0.541364,4.740056,27.150961,0.003695
0.050000,1.591014,2.462179,0.091247,0.812720,5.427118,13.741248,0.006716
0.050000,1.645258,2.462654,0.145492,1.084909,5.443772,0.333066,0.010806
0.050000,1.713164,2.463564,0.213404,1.358249,5.466806,0.460685,0.016019
0.050000,1.794804,2.465133,0.295059,1.633098,5.496984,0.603553,0.022430
0.050000,1.890264,2.467641,0.390553,1.909866,5.535350,0.767322,0.030130
0.050000,1.999650,2.471433,0.500004,2.189029,5.583270,0.958402,0.039235
0.050000,2.123085,2.476933,0.623562,2.471155,5.642527,1.185134,0.049887
0.050000,2.260715,2.484653,0.761408,2.756926,5.715418,1.457839,0.062262
0.050000,2.412707,2.495212,0.913767,3.047172,5.804911,1.789850,0.076577
0.050000,2.579253,2.509363,1.080912,3.342912,5.914802,2.197812,0.093094
0.050000,2.760566,2.528017,1.263183,3.645410,6.049958,2.703123,0.112141
0.050000,2.956883,2.552289,1.460995,3.956238,6.216564,3.332135,0.134119
0.050000,3.168455,2.583546,1.674863,4.277358,6.422396,4.116623,0.159524
0.050000,3.395531,2.623476,1.905423,4.611207,6.676991,5.091910,0.188971
0.050000,3.638333,2.674178,2.153462,4.960785,6.991556,6.291306,0.223216
0.050000,3.896994,2.738278,2.419947,5.329689,7.378081,7.730486,0.263194
0.050000,4.171452,2.819065,2.706048,5.722025,7.846719,9.372761,0.310036
0.050000,4.461264,2.920650,3.013148,6.142005,8.399591,11.057441,0.365077
0.050000,4.765277,3.048094,3.342793,6.592900,9.017905,12.366278,0.429811
0.050000,5.081104,3.207425,3.696535,7.074841,9.638821,12.418334,0.505743
0.050000,5.404384,3.405333,4.075583,7.580953,10.122235,9.668272,0.594048
0.050000,5.727946,3.648264,4.480191,8.092163,10.224196,2.039209,0.694980
0.050000,6.041394,3.940694,4.908870,8.573572,9.628181,-11.920287,0.807108
0.050000,6.331941,4.282935,5.357808,8.978774,8.104052,-30.482579,0.926754
0.050000,6.587006,4.669764,5.821160,9.267035,5.765215,-46.776736,1.048258
0.050000,6.797615,5.091370,6.292443,9.425665,3.172596,-51.852391,1.165347
0.050000,6.960434,5.536423,6.766345,9.478026,1.047215,-42.507622,1.272878
0.050000,7.077259,5.995225,7.239787,9.468841,-0.183689,-24.618069,1.367876
0.050000,7.152950,6.461200,7.711869,9.441648,-0.543870,-7.203636,1.449478
0.050000,7.193392,6.930750,8.183158,9.425770,-0.317555,4.526307,1.518238
0.050000,7.204270,7.402393,8.654926,9.435360,0.191810,10.187302,1.575392
0.050000,7.190588,7.875897,9.128627,9.474034,0.773473,11.633269,1.622347
0.050000,7.156759,8.349991,9.603927,9.505995,0.639226,-2.684958,1.660291
0.050000,7.106961,8.822169,10.078724,9.495929,-0.201332,-16.811148,1.690214
0.050000,7.045121,9.290206,10.550828,9.442097,-1.076637,-17.506099,1.713022
0.050000,6.974886,9.751982,11.017915,9.341733,-2.007277,-18.612796,1.729486
0.050000,6.899354,10.206943,11.479103,9.223759,-2.359490,-7.044262,1.740266
0.050000,6.821046,10.655944,11.934882,9.115570,-2.163763,3.914532,1.745832
0.050000,6.742261,11.099618,12.385497,9.012304,-2.065336,1.968536,1.746425
0.050000,6.665195,11.538379,12.830974,8.909539,-2.055287,0.200978,1.742068
0.050000,6.592041,11.972402,13.271119,8.802903,-2.132735,-1.548947,1.732577
0.050000,6.525082,12.401593,13.705502,8.687665,-2.304754,-3.440376,1.717538
0.050000,6.466912,12.824406,14.132298,8.535909,-3.035119,-14.607307,1.696337
0.050000,6.420382,13.237476,14.547980,8.313639,-4.445390,-28.205423,1.668230
0.050000,6.388251,13.636720,14.948515,8.010707,-6.058652,-32.265234,1.632344
0.050000,6.372926,14.017662,15.329765,7.625009,-7.713961,-33.106194,1.587704
0.050000,6.376221,14.376486,15.688604,7.176769,-8.964796,-25.016699,1.533168
0.050000,6.399333,14.710317,16.023234,6.692607,-9.683247,-14.369012,1.467369
0.050000,6.442757,15.016306,16.332289,6.181104,-10.230049,-10.936032,1.388993
0.050000,6.506052,15.291797,16.614958,5.653375,-10.554586,-6.490741,1.297260
0.050000,6.587790,15.535186,16.871705,5.134933,-10.368839,3.714934,1.192615
0.050000,6.685944,15.746877,17.105045,4.666803,-9.362605,20.124686,1.077475
0.050000,6.798728,15.929667,17.319829,4.295688,-7.422302,38.806047,0.956505
0.050000,6.925260,16.087921,17.522449,4.052400,-4.865755,51.130937,0.835850
0.050000,7.065329,16.225958,17.719105,3.933116,-2.385674,49.601638,0.721475
0.050000,7.218417,16.346883,17.914191,3.901726,-0.627812,35.157232,0.617611
0.050000,7.382956,16.452537,18.109732,3.910806,0.181610,16.188436,0.526206
0.050000,7.556354,16.544082,18.305811,3.921594,0.215759,0.682989,0.447345
0.050000,7.735489,16.622540,18.501375,3.911269,-0.206496,-8.445109,0.380014
0.050000,7.917237,16.689022,18.694900,3.870509,-0.815196,-12.174003,0.322751
0.050000,8.098787,16.744752,18.884811,3.798216,-1.445865,-12.613378,0.274039
0.050000,8.277770,16.790994,19.069671,3.697206,-2.020193,-11.486554,0.232498
0.050000,8.452264,16.828986,19.248253,3.571633,-2.511465,-9.825450,0.196947
0.050000,8.620738,16.859889,19.419539,3.425711,-2.918451,-8.139713,0.166405
0.050000,8.781991,16.884760,19.582698,3.263196,-3.250289,-6.636767,0.140075
0.050000,8.935080,16.904546,19.737061,3.087247,-3.518989,-5.373987,0.117310
0.050000,9.079268,16.920080,19.882083,2.900439,-3.736150,-4.343235,0.097588
0.050000,9.213976,16.932092,20.017325,2.704849,-3.911811,-3.513205,0.080486
0.050000,9.338750,16.941217,20.142432,2.502139,-4.054199,-2.847774,0.065661
0.050000,9.453231,16.948001,20.257114,2.293644,-4.169892,-2.313857,0.052835
0.050000,9.557137,16.952916,20.361136,2.080441,-4.264065,-1.883459,0.041781
0.050000,9.650243,16.956363,20.454306,1.863402,-4.340771,-1.534116,0.032314
