dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.502952,4.538125,0.003125,0.125000,2.500000,50.000000,6.283134
0.050000,1.515681,4.538123,0.015853,0.254570,2.591392,1.827837,6.282914
0.050000,1.541137,4.538110,0.041310,0.509125,5.091100,49.994167,6.282475
0.050000,1.579319,4.538071,0.079492,0.763650,5.090517,-0.011674,6.281817
0.050000,1.630226,4.537979,0.130399,1.018132,5.089640,-0.017531,6.280944
0.050000,1.693853,4.537802,0.194027,1.272556,5.088469,-0.023412,6.279858
0.050000,1.770198,4.537498,0.270372,1.526906,5.087003,-0.029324,6.278562
0.050000,1.859255,4.537019,0.359430,1.781168,5.085240,-0.035273,6.277060
0.050000,1.961019,4.536309,0.461197,2.035327,5.083176,-0.041264,6.275359
0.050000,2.075483,4.535305,0.575665,2.289367,5.080811,-0.047301,6.273463
0.050000,2.202639,4.533936,0.702829,2.543275,5.078142,-0.053387,6.271379
0.050000,2.342479,4.532126,0.842680,2.797033,5.075166,-0.059523,6.269113
0.050000,2.494993,4.529793,0.995212,3.050627,5.071880,-0.065709,6.266675
0.050000,2.660169,4.526850,1.160414,3.304041,5.068283,-0.071944,6.264072
0.050000,2.837994,4.523205,1.338277,3.557260,5.064372,-0.078223,6.261314
0.050000,3.028456,4.518761,1.528790,3.810267,5.060145,-0.084542,6.258411
0.050000,3.231538,4.513419,1.731942,4.063047,5.055600,-0.090896,6.255375
0.050000,3.447224,4.507077,1.947722,4.315584,5.050736,-0.097276,6.252216
0.050000,3.675495,4.499631,2.176115,4.567861,5.045553,-0.103673,6.248947
0.050000,3.916333,4.490974,2.417108,4.819864,5.040049,-0.110080,6.245582
0.050000,4.169716,4.481002,2.670687,5.071575,5.034224,-0.116485,6.242135
0.050000,4.435621,4.469610,2.936836,5.322979,5.028081,-0.122877,6.238620
0.050000,4.714024,4.456694,3.215539,5.574060,5.021618,-0.129248,6.235053
0.050000,5.004901,4.442155,3.506779,5.824802,5.014839,-0.135585,6.231450
0.050000,5.308225,4.425894,3.810538,6.075189,5.007745,-0.141881,6.227828
0.050000,5.623969,4.407819,4.126798,6.325206,5.000339,-0.148127,6.224206
0.050000,5.952103,4.387846,4.455540,6.574837,4.992623,-0.154316,6.220601
0.050000,6.292599,4.365893,4.796744,6.824067,4.984600,-0.160444,6.217034
0.050000,6.645428,4.341891,5.150388,7.072881,4.976275,-0.166508,6.213523
0.050000,7.010559,4.315778,5.516451,7.321263,4.967650,-0.172508,6.210091
0.050000,7.387961,4.287504,5.894911,7.569200,4.958727,-0.178449,6.206758
0.050000,7.777605,4.257029,6.285745,7.816675,4.949511,-0.184334,6.203546
0.050000,8.179460,4.224329,6.688928,8.063675,4.940002,-0.190175,6.200479
0.050000,8.593498,4.189394,7.104438,8.310186,4.930203,-0.195984,6.197580
0.050000,9.019691,4.152229,7.532247,8.556191,4.920114,-0.201776,6.194874
0.050000,9.458010,4.112858,7.972331,8.801678,4.909735,-0.207569,6.192385
0.050000,9.905304,4.071617,8.421523,8.983830,3.643046,-25.333784,6.190153
0.050000,10.355311,4.029181,8.873526,9.040065,1.124698,-50.366965,6.188223
0.050000,10.804913,3.985979,9.325199,9.033456,-0.132182,-25.137589,6.186612
0.050000,11.254123,3.942157,9.776541,9.026850,-0.132127,0.001102,6.185319
0.050000,11.702954,3.897858,10.227554,9.020246,-0.132079,0.000958,6.184344
0.050000,12.151421,3.853225,10.678236,9.013644,-0.132041,0.000761,6.183686
0.050000,12.599537,3.808401,11.128588,9.007043,-0.132014,0.000526,6.183347
0.050000,13.047317,3.763530,11.578610,9.000443,-0.132001,0.000264,6.183326
0.050000,13.494774,3.718753,12.028302,8.993843,-0.132002,-0.000012,6.183622
0.050000,13.941923,3.674213,12.477664,8.987242,-0.132016,-0.000288,6.184237
0.050000,14.388778,3.630050,12.926696,8.980640,-0.132044,-0.000553,6.185169
0.050000,14.835353,3.586408,13.375398,8.974036,-0.132083,-0.000792,6.186420
0.050000,15.281659,3.543427,13.823770,8.967429,-0.132133,-0.000995,6.187989
0.050000,15.727710,3.501249,14.271810,8.960820,-0.132190,-0.001147,6.189876
0.050000,16.173518,3.460013,14.719521,8.954207,-0.132252,-0.001236,6.192081
0.050000,16.619092,3.419862,15.166900,8.947591,-0.132315,-0.001249,6.194605
0.050000,17.064442,3.380935,15.613949,8.940973,-0.132373,-0.001173,6.197448
0.050000,17.509578,3.343373,16.060667,8.934351,-0.132423,-0.000995,6.200610
0.050000,17.954506,3.307317,16.507053,8.927729,-0.132458,-0.000702,6.204090
0.050000,18.399232,3.272906,16.953108,8.921105,-0.132472,-0.000280,6.207890
0.050000,18.843760,3.240280,17.398832,8.914482,-0.132458,0.000283,6.212009
0.050000,19.288094,3.209579,17.844225,8.907862,-0.132408,0.001001,6.216446
0.050000,19.732234,3.180942,18.289288,8.901246,-0.132314,0.001885,6.221202
0.050000,20.176180,3.154508,18.734020,8.894638,-0.132166,0.002948,6.226276
0.050000,20.617312,3.130550,19.175802,8.835654,-1.179682,-20.950303,6.231635
0.050000,21.049936,3.109424,19.608942,8.662796,-3.457150,-45.549364,6.237198
0.050000,21.470515,3.091260,20.029912,8.419404,-4.867839,-28.213794,6.242897
0.050000,21.878591,3.075986,20.438274,8.167236,-5.043353,-3.510279,6.248700
0.050000,22.274173,3.063496,20.834054,7.915592,-5.032896,0.209141,6.254582
0.050000,22.657270,3.053665,21.217276,7.664454,-5.022746,0.203010,6.260519
0.050000,23.027888,3.046363,21.587967,7.413809,-5.012912,0.196674,6.266488
0.050000,23.386036,3.041447,21.946149,7.163638,-5.003405,0.190136,6.272464
0.050000,23.731722,3.038766,22.291845,6.913927,-4.994235,0.183408,6.278427
0.050000,24.058496,3.038338,22.618619,6.535482,-7.568902,-51.493334,0.007341
0.050000,24.341650,3.046092,22.901880,5.665208,-17.405477,-196.731506,0.049345
0.050000,24.602245,3.065336,23.163184,5.226082,-8.782512,172.459290,0.100451
0.050000,24.838060,3.096122,23.401000,4.756333,-9.394981,-12.249378,0.162132
0.050000,25.046653,3.137802,23.613716,4.254317,-10.040331,-12.906987,0.235941
0.050000,25.225804,3.188805,23.799986,3.725396,-10.578418,-10.761743,0.323174
0.050000,25.374343,3.246618,23.959379,3.187865,-10.750616,-3.443957,0.424246
0.050000,25.493209,3.308261,24.093278,2.677974,-10.197810,11.056115,0.537832
0.050000,25.586128,3.371393,24.205615,2.246735,-8.624790,31.460404,0.660148
0.050000,25.659010,3.435504,24.302683,1.941361,-6.107483,50.346125,0.785139
0.050000,25.717990,3.502051,24.391605,1.778440,-3.258406,56.981546,0.905943
0.050000,25.767503,3.573138,24.478235,1.732607,-0.916660,46.834917,1.016924
0.050000,25.809800,3.649908,24.565886,1.753019,0.408222,26.497655,1.114890
0.050000,25.845691,3.731910,24.655398,1.790238,0.744381,6.723172,1.199031
0.050000,25.875485,3.817449,24.745977,1.811589,0.427031,-6.346998,1.270109
0.050000,25.899525,3.904274,24.836070,1.801845,-0.194883,-12.438279,1.329622
0.050000,25.918337,3.990109,24.923942,1.757444,-0.888030,-13.862944,1.379236
0.050000,25.932594,4.072928,25.007979,1.680747,-1.533927,-12.917939,1.420506
0.050000,25.943033,4.151052,25.086797,1.576357,-2.087810,-11.077651,1.454765
0.050000,25.950385,4.223139,25.159258,1.449229,-2.542560,-9.095007,1.483107
0.050000,25.955327,4.288146,25.224453,1.303887,-2.906842,-7.285639,1.506410
0.050000,25.958461,4.345269,25.281662,1.144184,-3.194059,-5.744340,1.525364
0.050000,25.960299,4.393900,25.330327,0.973309,-3.417498,-4.468786,1.540508
0.050000,25.961267,4.433582,25.370021,0.793882,-3.588540,-3.420841,1.552252
0.050000,25.961698,4.463983,25.400425,0.608070,-3.716231,-2.553816,1.560906
0.050000,25.961844,4.484867,25.421310,0.417701,-3.807388,-1.823144,1.566687
0.050000,25.961873,4.496085,25.432528,0.224358,-3.866862,-1.189482,1.569740
0.050000,25.961875,4.499631,25.436074,0.070923,-3.068689,15.963474,1.570697
0.050000,25.961875,4.500000,25.436443,0.007372,-1.271023,35.953314,1.570796
0.050000,25.961875,4.500000,25.436443,0.000000,-0.147442,22.471626,1.570796
