dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.502846,2.461875,0.003125,0.125000,2.500000,50.000000,6.283134
0.050000,1.515117,2.461873,0.015397,0.245430,2.408608,-1.827837,6.282914
0.050000,1.539661,2.461861,0.039940,0.490875,4.908900,50.005830,6.282475
0.050000,1.576479,2.461823,0.076758,0.736350,4.909483,0.011669,6.281817
0.050000,1.625572,2.461734,0.125851,0.981868,4.910359,0.017524,6.280944
0.050000,1.686944,2.461563,0.187223,1.227444,4.911529,0.023403,6.279858
0.050000,1.760598,2.461270,0.260878,1.473094,4.912995,0.029313,6.278562
0.050000,1.846538,2.460808,0.346820,1.718832,4.914758,0.035260,6.277060
0.050000,1.944770,2.460123,0.445053,1.964673,4.916821,0.041250,6.275359
0.050000,2.055297,2.459153,0.555585,2.210632,4.919185,0.047286,6.273463
0.050000,2.178126,2.457830,0.678421,2.456725,4.921853,0.053371,6.271379
0.050000,2.313263,2.456081,0.813569,2.702966,4.924829,0.059507,6.269113
0.050000,2.460714,2.453826,0.961038,2.949372,4.928113,0.065694,6.266675
0.050000,2.620487,2.450979,1.120836,3.195957,4.931710,0.071929,6.264072
0.050000,2.792588,2.447451,1.292973,3.442738,4.935620,0.078209,6.261314
0.050000,2.977024,2.443148,1.477459,3.689731,4.939847,0.084530,6.258411
0.050000,3.173803,2.437972,1.674307,3.936950,4.944391,0.090885,6.255375
0.050000,3.382934,2.431823,1.883527,4.184413,4.949254,0.097268,6.252216
0.050000,3.604423,2.424597,2.105134,4.432135,4.954438,0.103669,6.248947
0.050000,3.838278,2.416192,2.339141,4.680132,4.959942,0.110078,6.245582
0.050000,4.084509,2.406501,2.585562,4.928420,4.965766,0.116487,6.242135
0.050000,4.343122,2.395422,2.844412,5.177016,4.971910,0.122884,6.238620
0.050000,4.614127,2.382849,3.115709,5.425934,4.978373,0.129259,6.235053
0.050000,4.897533,2.368683,3.399469,5.675192,4.985153,0.135601,6.231450
0.050000,5.193349,2.352824,3.695709,5.924804,4.992248,0.141901,6.227828
0.050000,5.501583,2.335180,4.004448,6.174787,4.999656,0.148152,6.224206
0.050000,5.822248,2.315660,4.325706,6.425156,5.007373,0.154345,6.220601
0.050000,6.155352,2.294184,4.659502,6.675926,5.015397,0.160477,6.217034
0.050000,6.500909,2.270677,5.005858,6.927112,5.023724,0.166545,6.213523
0.050000,6.858931,2.245072,5.364795,7.178729,5.032352,0.172548,6.210091
0.050000,7.229433,2.217315,5.736334,7.430793,5.041276,0.178490,6.206758
0.050000,7.612429,2.187360,6.120500,7.683318,5.050495,0.184377,6.203546
0.050000,8.007937,2.155176,6.517316,7.936318,5.060006,0.190218,6.200479
0.050000,8.415978,2.120747,6.926806,8.189809,5.069807,0.196025,6.197580
0.050000,8.836572,2.084070,7.348997,8.443804,5.079898,0.201814,6.194874
0.050000,9.269744,2.045162,7.783912,8.698318,5.090278,0.207602,6.192385
0.050000,9.712425,2.004345,8.228471,8.891166,3.856970,-24.666161,6.190153
0.050000,10.158442,1.962285,8.676467,8.959932,1.375320,-49.632992,6.188223
0.050000,10.604714,1.919404,9.124794,8.966542,0.132199,-24.862439,6.186612
0.050000,11.051252,1.875842,9.573452,8.973149,0.132140,-0.001163,6.185319
0.050000,11.498068,1.831741,10.022440,8.979753,0.132089,-0.001019,6.184344
0.050000,11.945177,1.787244,10.471757,8.986356,0.132048,-0.000822,6.183686
0.050000,12.392592,1.742490,10.921405,8.992957,0.132019,-0.000586,6.183347
0.050000,12.840328,1.697623,11.371383,8.999557,0.132003,-0.000324,6.183326
0.050000,13.288398,1.652785,11.821691,9.006157,0.132000,-0.000049,6.183622
0.050000,13.736817,1.608118,12.272329,9.012758,0.132012,0.000227,6.184237
0.050000,14.185598,1.563766,12.723297,9.019359,0.132036,0.000492,6.185169
0.050000,14.634757,1.519871,13.174595,9.025963,0.132073,0.000732,6.186420
0.050000,15.084305,1.476578,13.626223,9.032569,0.132120,0.000934,6.187989
0.050000,15.534257,1.434031,14.078182,9.039178,0.132174,0.001086,6.189876
0.050000,15.984624,1.392374,14.530472,9.045789,0.132233,0.001175,6.192081
0.050000,16.435418,1.351752,14.983092,9.052404,0.132292,0.001188,6.194605
0.050000,16.886648,1.312311,15.436043,9.059021,0.132348,0.001112,6.197448
0.050000,17.338325,1.274198,15.889325,9.065641,0.132394,0.000934,6.200610
0.050000,17.790456,1.237558,16.342938,9.072262,0.132426,0.000640,6.204090
0.050000,18.243048,1.202538,16.796882,9.078884,0.132437,0.000219,6.207890
0.050000,18.696104,1.169287,17.251158,9.085505,0.132420,-0.000344,6.212009
0.050000,19.149629,1.137951,17.705764,9.092124,0.132367,-0.001061,6.216446
0.050000,19.603623,1.108679,18.160701,9.098737,0.132270,-0.001945,6.221202
0.050000,20.058086,1.081619,18.615968,9.105343,0.132119,-0.003008,6.226276
0.050000,20.510329,1.057058,19.068878,9.058193,-0.942994,-21.502271,6.231635
0.050000,20.954489,1.035369,19.513567,8.893786,-3.288142,-46.902955,6.237198
0.050000,21.386888,1.016694,19.946369,8.656046,-4.754804,-29.333234,6.242897
0.050000,21.807005,1.000971,20.366780,8.408214,-4.956650,-4.036922,6.248700
0.050000,22.214794,0.988095,20.774773,8.159858,-4.967102,-0.209047,6.254582
0.050000,22.610214,0.977949,21.170323,7.910996,-4.977248,-0.202922,6.260519
0.050000,22.993222,0.970403,21.553405,7.661642,-4.987078,-0.196593,6.266488
0.050000,23.363777,0.965316,21.923995,7.411813,-4.996581,-0.190064,6.272464
0.050000,23.721843,0.962539,22.282072,7.161526,-5.005748,-0.183345,6.278427
0.050000,24.073738,0.962144,22.633967,7.037903,-2.472446,50.666047,0.007341
0.050000,24.444062,0.972369,23.004432,7.409305,7.428037,198.009660,0.049345
0.050000,24.810456,0.999552,23.371833,7.348024,-1.225622,-173.073186,0.100451
0.050000,25.173215,1.047102,23.737695,7.317228,-0.615919,12.194066,0.162132
0.050000,25.531993,1.119075,24.103621,7.318532,0.026079,12.839959,0.235941
0.050000,25.885174,1.220037,24.470950,7.346569,0.560742,10.693258,0.323174
0.050000,26.228998,1.354429,24.840105,7.383109,0.730802,3.401196,0.424246
0.050000,26.556820,1.525133,25.209709,7.392082,0.179457,-11.026900,0.537832
0.050000,26.859355,1.731361,25.575848,7.322764,-1.386359,-31.316313,0.660148
0.050000,27.126760,1.966993,25.932257,7.128197,-3.891348,-50.099780,0.785139
0.050000,27.352015,2.221123,26.271848,6.791811,-6.727720,-56.727434,0.905943
0.050000,27.533342,2.481063,26.588784,6.338717,-9.061872,-46.683039,1.016924
0.050000,27.673986,2.735785,26.879755,5.819424,-10.385869,-26.479950,1.114890
0.050000,27.780107,2.977689,27.143912,5.283148,-10.725511,-6.792847,1.199031
0.050000,27.858580,3.202512,27.382037,4.762500,-10.412963,6.250962,1.270109
0.050000,27.915684,3.408375,27.595674,4.272732,-9.795364,12.351986,1.329622
0.050000,27.956609,3.594809,27.786547,3.817458,-9.105476,13.797753,1.379236
0.050000,27.985440,3.762061,27.956265,3.394366,-8.461841,12.872708,1.420506
0.050000,28.005322,3.910682,28.106210,2.998893,-7.909462,11.047573,1.454765
0.050000,28.018658,4.041308,28.237515,2.626108,-7.455694,9.075375,1.483107
0.050000,28.027275,4.154556,28.351091,2.271506,-7.092048,7.272909,1.506410
0.050000,28.032568,4.250973,28.447653,1.931244,-6.805244,5.736079,1.525364
0.050000,28.035597,4.331023,28.527760,1.602140,-6.582073,4.463417,1.540508
0.050000,28.037160,4.395083,28.591839,1.281580,-6.411206,3.417341,1.552252
0.050000,28.037846,4.443448,28.640209,0.967398,-6.283629,2.551550,1.560906
0.050000,28.038076,4.476335,28.673097,0.657771,-6.192543,1.821707,1.566687
0.050000,28.038122,4.493891,28.690653,0.351115,-6.133112,1.188624,1.569740
0.050000,28.038125,4.499425,28.696187,0.110682,-4.808674,26.488774,1.570697
0.050000,28.038125,4.500000,28.696762,0.011496,-1.983710,56.499276,1.570796
0.050000,28.038125,4.500000,28.696762,0.000000,-0.229925,35.075697,1.570796
