dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.501077,4.538125,0.001529,0.061176,1.223529,24.470584,0.000320
0.050000,1.505751,4.538130,0.006204,0.093493,0.646324,-11.544108,0.001710
0.050000,1.516261,4.538164,0.016713,0.210182,2.333783,33.749181,0.004846
0.050000,1.534913,4.538307,0.035366,0.373055,3.257465,18.473641,0.010450
0.050000,1.562817,4.538717,0.063273,0.558150,3.701902,8.888746,0.018925
0.050000,1.599884,4.539629,0.100351,0.741560,3.668207,-0.673907,0.030352
0.050000,1.645991,4.541362,0.146491,0.922791,3.624610,-0.871928,0.044837
0.050000,1.700983,4.544315,0.201562,1.101424,3.572657,-1.039075,0.062503
0.050000,1.764671,4.548969,0.265420,1.277164,3.514804,-1.157057,0.083491
0.050000,1.836835,4.555894,0.337916,1.449904,3.454803,-1.200015,0.107944
0.050000,1.917225,4.565743,0.418906,1.619811,3.398141,-1.133238,0.135998
0.050000,2.005568,4.579259,0.508278,1.787436,3.352486,-0.913103,0.167765
0.050000,2.101585,4.597274,0.605970,1.953836,3.328004,-0.489649,0.203301
0.050000,2.204997,4.620713,0.712005,2.120702,3.337323,0.186397,0.242585
0.050000,2.315551,4.650598,0.826527,2.290444,3.394844,1.150410,0.285478
0.050000,2.433035,4.688051,0.949837,2.466197,3.515058,2.404287,0.331689
0.050000,2.557292,4.734298,1.082421,2.651685,3.709757,3.893969,0.380750
0.050000,2.688220,4.790665,1.224966,2.850906,3.984415,5.493173,0.432000
0.050000,2.825757,4.858559,1.378349,3.067643,4.334748,7.006644,0.484595
0.050000,2.969859,4.939432,1.543593,3.304890,4.744941,8.203868,0.537548
0.050000,3.120464,5.034717,1.721810,3.564340,5.188992,8.881012,0.589789
0.050000,3.277475,5.145753,1.914116,3.846112,5.635456,8.929298,0.640246
0.050000,3.440760,5.273699,2.121557,4.148828,6.054303,8.376939,0.687909
0.050000,3.610179,5.419470,2.345057,4.469997,6.423396,7.381857,0.731890
0.050000,3.785649,5.583693,2.585388,4.806617,6.732385,6.179774,0.771447
0.050000,3.967212,5.766696,2.843177,5.155776,6.983187,5.016033,0.805976
0.050000,4.155114,5.968526,3.118935,5.515167,7.187817,4.092602,0.834985
0.050000,4.349891,6.188977,3.413106,5.883423,7.365127,3.546212,0.858045
0.050000,4.551502,6.426497,3.724656,6.230992,6.951379,-8.274972,0.874681
0.050000,4.759361,6.678035,4.050962,6.526136,5.902877,-20.970033,0.884471
0.050000,4.972969,6.939831,4.388847,6.757685,4.630989,-25.437759,0.887146
0.050000,5.191051,7.206599,4.733412,6.891299,2.672271,-39.174365,0.882621
0.050000,5.412511,7.473083,5.079906,6.929882,0.771670,-38.012009,0.871051
0.050000,5.636991,7.735127,5.424954,6.900967,-0.578318,-26.999764,0.852740
0.050000,5.864006,7.988889,5.765440,6.809728,-1.824779,-24.929233,0.828125
0.050000,6.093683,8.231810,6.099749,6.686179,-2.470964,-12.923685,0.797670
0.050000,6.326578,8.462313,6.427425,6.553514,-2.653316,-3.647052,0.761814
0.050000,6.562849,8.678876,6.747931,6.410113,-2.868016,-4.293984,0.721075
0.050000,6.802197,8.880069,7.060605,6.253491,-3.132444,-5.288564,0.676089
0.050000,7.043821,9.064606,7.364639,6.080675,-3.456323,-6.477583,0.627637
0.050000,7.286421,9.231454,7.659076,5.888744,-3.838602,-7.645586,0.576642
0.050000,7.528249,9.379934,7.942849,5.675452,-4.265842,-8.544791,0.524133
0.050000,7.767221,9.509819,8.214838,5.439776,-4.713534,-8.953841,0.471189
0.050000,8.001081,9.621394,8.473950,5.182237,-5.150766,-8.744649,0.418866
0.050000,8.227575,9.715442,8.719194,4.904887,-5.547006,-7.924787,0.368118
0.050000,8.444618,9.793189,8.949742,4.610958,-5.878588,-6.631648,0.319745
0.050000,8.650408,9.856184,9.164958,4.304325,-6.132652,-5.081287,0.274359
0.050000,8.843489,9.906176,9.364405,3.988945,-6.307610,-3.499160,0.232379
0.050000,9.022757,9.944983,9.547825,3.668403,-6.410826,-2.064313,0.194056
0.050000,9.187433,9.974395,9.715108,3.345652,-6.455020,-0.883890,0.159495
0.050000,9.337013,9.996093,9.866254,3.022911,-6.454818,0.004049,0.128694
0.050000,9.471205,10.011607,10.001339,2.701699,-6.424236,0.611635,0.101580
0.050000,9.589871,10.022289,10.120485,2.382935,-6.375283,0.979057,0.078034
0.050000,9.692986,10.029307,10.223838,2.067062,-6.317461,1.156447,0.057916
0.050000,9.780587,10.033645,10.311547,1.754170,-6.257839,1.192440,0.041084
0.050000,9.852750,10.036116,10.383752,1.444099,-6.201422,1.128350,0.027400
0.050000,9.909562,10.037370,10.440578,1.136519,-6.151595,0.996533,0.016745
0.050000,9.951108,10.037905,10.482127,0.830992,-6.110557,0.820755,0.009019
0.050000,9.977949,10.038080,10.508969,0.536829,-5.883251,4.546126,0.004058
0.050000,9.992513,10.038120,10.523533,0.291272,-4.911137,19.442273,0.001376
0.050000,9.998601,10.038125,10.529621,0.121765,-3.390145,30.419843,0.000257
0.050000,10.000000,10.038125,10.531020,0.027983,-1.875631,30.290273,6.283185
0.050000,10.000000,10.038125,10.531020,0.000000,-0.559667,26.319286,6.283185
