dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.501741,2.461875,0.001529,0.061176,1.223529,24.470584,0.000320
0.050000,1.509301,2.461883,0.009090,0.151213,1.800734,11.544100,0.001710
0.050000,1.526322,2.461939,0.026110,0.340406,3.783859,39.662493,0.004846
0.050000,1.556609,2.462170,0.056399,0.605767,5.307218,30.467191,0.010450
0.050000,1.602108,2.462838,0.101903,0.910080,6.086269,15.581008,0.018925
0.050000,1.662894,2.464336,0.162707,1.216076,6.119902,0.672658,0.030352
0.050000,1.739052,2.467199,0.238919,1.524246,6.163408,0.870128,0.044837
0.050000,1.830670,2.472119,0.330669,1.835008,6.215241,1.036652,0.062503
0.050000,1.937817,2.479952,0.438102,2.148655,6.272936,1.153900,0.083491
0.050000,2.060518,2.491728,0.561367,2.465292,6.332737,1.196022,0.107944
0.050000,2.198722,2.508664,0.700604,2.784749,6.389154,1.128344,0.135998
0.050000,2.352258,2.532159,0.855928,3.106475,6.434521,0.907332,0.167765
0.050000,2.520787,2.563784,1.027398,3.429409,6.458680,0.483180,0.203301
0.050000,2.703739,2.605256,1.214991,3.751860,6.449022,-0.193147,0.242585
0.050000,2.900256,2.658380,1.418562,4.071420,6.391187,-1.156708,0.285478
0.050000,3.109146,2.724970,1.637810,4.384957,6.270735,-2.409036,0.331689
0.050000,3.328863,2.806737,1.872248,4.688754,6.075943,-3.895833,0.380750
0.050000,3.557521,2.905160,2.121189,4.978824,5.801402,-5.490819,0.432000
0.050000,3.792978,3.021361,2.383759,5.251396,5.451445,-6.999144,0.484595
0.050000,4.032963,3.156002,2.658933,5.503490,5.041887,-8.191169,0.537548
0.050000,4.275245,3.309233,2.945605,5.733424,4.598678,-8.864169,0.589789
0.050000,4.517811,3.480706,3.242659,5.941082,4.153161,-8.910355,0.640246
0.050000,4.759018,3.669639,3.549051,6.127844,3.735240,-8.358404,0.687909
0.050000,4.997689,3.874922,3.863860,6.296191,3.366939,-7.366031,0.731890
0.050000,5.233156,4.095224,4.186316,6.449118,3.058527,-6.168228,0.771447
0.050000,5.465240,4.329086,4.515792,6.589520,2.808055,-5.009453,0.805976
0.050000,5.694210,4.574970,4.851777,6.719696,2.603506,-4.090976,0.834985
0.050000,5.920711,4.831280,5.193827,6.840998,2.426045,-3.549215,0.858045
0.050000,6.144690,5.095120,5.539917,6.921795,1.615929,-16.202319,0.874681
0.050000,6.365505,5.362317,5.886548,6.932631,0.216726,-27.984069,0.884471
0.050000,6.582628,5.628415,6.229987,6.868778,-1.277053,-29.875581,0.887146
0.050000,6.794759,5.887912,6.565157,6.703393,-3.307710,-40.613129,0.882621
0.050000,7.000855,6.135931,6.887629,6.449452,-5.078805,-35.421916,0.871051
0.050000,7.200586,6.369117,7.194660,6.140614,-6.176766,-21.959214,0.852740
0.050000,7.393506,6.584807,7.484040,5.787600,-7.060284,-17.670357,0.828125
0.050000,7.579719,6.781806,7.755119,5.421587,-7.320266,-5.199640,0.797670
0.050000,7.759679,6.959969,8.008354,5.064686,-7.138006,3.645208,0.761814
0.050000,7.933574,7.119412,8.244280,4.718528,-6.923163,4.296854,0.721075
0.050000,8.101404,7.260539,8.463561,4.385611,-6.658341,5.296431,0.676089
0.050000,8.263065,7.384054,8.667007,4.068920,-6.333826,6.490314,0.627637
0.050000,8.418417,7.490938,8.855576,3.771384,-5.950712,7.662273,0.576642
0.050000,8.567334,7.582403,9.030339,3.495258,-5.522530,8.563649,0.524133
0.050000,8.709727,7.659820,9.192417,3.241562,-5.073907,8.972458,0.471189
0.050000,8.845543,7.724634,9.342905,3.009769,-4.635878,8.760577,0.418866
0.050000,8.974735,7.778288,9.482796,2.797815,-4.239068,7.936200,0.368118
0.050000,9.097235,7.822173,9.612919,2.602456,-3.907179,6.637780,0.319745
0.050000,9.212926,7.857588,9.733909,2.419803,-3.653056,5.082451,0.274359
0.050000,9.321636,7.885733,9.846204,2.245892,-3.478235,3.496427,0.232379
0.050000,9.423142,7.907704,9.950060,2.077128,-3.375282,2.059056,0.194056
0.050000,9.517182,7.924497,10.045588,1.910557,-3.331413,0.877391,0.159495
0.050000,9.603477,7.937013,10.132786,1.743959,-3.331951,-0.010774,0.128694
0.050000,9.681747,7.946060,10.211577,1.575817,-3.362849,-0.617952,0.101580
0.050000,9.751725,7.952358,10.281837,1.405213,-3.412079,-0.984607,0.078034
0.050000,9.813168,7.956538,10.343423,1.231706,-3.470135,-1.161113,0.057916
0.050000,9.865864,7.959147,10.396183,1.055209,-3.529945,-1.196200,0.041084
0.050000,9.909632,7.960645,10.439977,0.875883,-3.586510,-1.131310,0.027400
0.050000,9.944327,7.961411,10.474680,0.694061,-3.636450,-0.998787,0.016745
0.050000,9.969834,7.961739,10.500189,0.510182,-3.677570,-0.822400,0.009019
0.050000,9.986375,7.961847,10.516730,0.330818,-3.587289,1.805610,0.004058
0.050000,9.995370,7.961872,10.525726,0.179905,-3.018264,11.380508,0.001376
0.050000,9.999134,7.961875,10.529490,0.075294,-2.092210,18.521081,0.000257
0.050000,10.000000,7.961875,10.530356,0.017311,-1.159667,18.650850,6.283185
0.050000,10.000000,7.961875,10.530356,0.000000,-0.346218,16.268986,6.283185
